name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Poison Girl Dior (female) ~ 2016,https://www.fragrantica.com/perfume/Dior/Poison-Girl-35561.html,187,127,2016,29,314,60,0.2749326145552561,0.5955414012738853,29.0,517.0,0.5781710914454278
Kenzo Amour Kenzo (female) ~ 2006,https://www.fragrantica.com/perfume/Kenzo/Kenzo-Amour-664.html,147,83,2006,30,230,64,0.2857142857142857,0.6391304347826087,30.0,516.0,0.611764705882353
Armani Code Absolu Giorgio Armani (male) ~ 2019,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-53106.html,144,87,2019,31,231,57,0.2668463611859838,0.6233766233766234,31.0,515.0,0.59765625
Mercedes Benz Club Black Mercedes-Benz (male) ~ 2017,https://www.fragrantica.com/perfume/Mercedes-Benz/Mercedes-Benz-Club-Black-46797.html,138,75,2017,32,213,63,0.28301886792452835,0.647887323943662,32.0,514.0,0.6176470588235294
Cinéma Yves Saint Laurent (female) ~ 2004,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Cinema-92.html,133,68,2004,33,201,65,0.28840970350404316,0.6616915422885572,33.0,513.0,0.6283185840707964
Lune Feline Atelier des Ors (unisex) ~ 2015,https://www.fragrantica.com/perfume/Atelier-des-Ors/Lune-Feline-29716.html,121,48,2015,34,169,73,0.30997304582210244,0.7159763313609467,34.0,512.0,0.6701030927835051
Layton Parfums de Marly (unisex) ~ 2016,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,136,81,2016,35,217,55,0.261455525606469,0.6267281105990783,35.0,511.0,0.5991735537190083
Black Opium Yves Saint Laurent (female) ~ 2014,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-25324.html,171,155,2014,36,326,16,0.15633423180592992,0.5245398773006135,36.0,510.0,0.5128205128205128
Cuir Béluga Guerlain (unisex) ~ 2005,https://www.fragrantica.com/perfume/Guerlain/Cuir-Beluga-1019.html,117,48,2005,37,165,69,0.2991913746630728,0.7090909090909091,37.0,509.0,0.6631578947368421
Oud Satin Mood Maison Francis Kurkdjian (unisex) ~ 2015,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html,115,50,2015,38,165,65,0.28840970350404316,0.696969696969697,38.0,508.0,0.6526315789473685
Noir Pour Femme Tom Ford (female) ~ 2015,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Pour-Femme-30957.html,112,52,2015,39,164,60,0.2749326145552561,0.6829268292682927,39.0,507.0,0.6402116402116402
Emporio Armani Stronger With You Intensely Giorgio Armani (male) ~ 2019,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html,134,101,2019,40,235,33,0.20215633423180596,0.5702127659574469,40.0,506.0,0.55
Eau Duelle Eau de Parfum Diptyque (unisex) ~ 2013,https://www.fragrantica.com/perfume/Diptyque/Eau-Duelle-Eau-de-Parfum-49100.html,99,38,2013,41,137,61,0.2776280323450135,0.7226277372262774,41.0,505.0,0.6666666666666666
Gentle Fluidity Gold Maison Francis Kurkdjian (unisex) ~ 2019,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53401.html,109,60,2019,42,169,49,0.24528301886792453,0.6449704142011834,42.0,504.0,0.6082474226804123
Le Male Jean Paul Gaultier (male) ~ 1995,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-430.html,143,132,1995,43,275,11,0.14285714285714285,0.52,43.0,503.0,0.5066666666666667
Libre Intense Yves Saint Laurent (female) ~ 2020,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-Intense-62318.html,102,56,2020,44,158,46,0.23719676549865232,0.6455696202531646,44.0,502.0,0.6065573770491803
Casmir Chopard (female) ~ 1992,https://www.fragrantica.com/perfume/Chopard/Casmir-348.html,106,72,1992,45,178,34,0.20485175202156336,0.5955056179775281,45.0,501.0,0.5665024630541872
Love Don't Be Shy By Kilian (female) ~ 2007,https://www.fragrantica.com/perfume/By-Kilian/Love-Don-t-Be-Shy-4322.html,110,81,2007,46,191,29,0.19137466307277629,0.5759162303664922,46.0,500.0,0.5509259259259259
La Nuit Trésor à la Folie Lancôme (female) ~ 2018,https://www.fragrantica.com/perfume/Lancome/La-Nuit-Tresor-a-la-Folie-48019.html,105,71,2018,47,176,34,0.20485175202156336,0.5965909090909091,47.0,499.0,0.5671641791044776
L’Ambre des Merveilles Hermès (unisex) ~ 2012,https://www.fragrantica.com/perfume/Hermes/L-Ambre-des-Merveilles-15949.html,103,71,2012,48,174,32,0.19946091644204852,0.5919540229885057,48.0,498.0,0.5628140703517588
Alien Essence Absolue Mugler (female) ~ 2012,https://www.fragrantica.com/perfume/Mugler/Alien-Essence-Absolue-15452.html,89,47,2012,49,136,42,0.22641509433962265,0.6544117647058824,49.0,497.0,0.6086956521739131
Manifesto Yves Saint Laurent (female) ~ 2012,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Manifesto-15540.html,91,51,2012,50,142,40,0.22102425876010784,0.6408450704225352,50.0,496.0,0.5988023952095808
Absolute Aphrodisiac Initio Parfums Prives (unisex) ~ 2015,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Absolute-Aphrodisiac-30989.html,87,46,2015,51,133,41,0.22371967654986524,0.6541353383458647,51.0,495.0,0.6075949367088608
La Belle Le Parfum Jean Paul Gaultier (female) ~ 2021,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/La-Belle-Le-Parfum-65175.html,93,63,2021,52,156,30,0.1940700808625337,0.5961538461538461,52.0,494.0,0.56353591160221
Vanille Insensée Atelier Cologne (unisex) ~ 2011,https://www.fragrantica.com/perfume/Atelier-Cologne/Vanille-Insensee-11456.html,96,74,2011,53,170,22,0.1725067385444744,0.5647058823529412,53.0,493.0,0.5384615384615384
Shalimar Parfum Guerlain (female) ~ 1925,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Parfum-33557.html,80,50,1925,54,130,30,0.1940700808625337,0.6153846153846154,54.0,492.0,0.5741935483870968
Angels' Share By Kilian (unisex) ~ 2020,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,75,42,2020,55,117,33,0.20215633423180596,0.6410256410256411,55.0,491.0,0.5915492957746479
I Don't Need A Prince By My Side To Be A Princess By Kilian (unisex) ~ 2018,https://www.fragrantica.com/perfume/By-Kilian/I-Don-t-Need-A-Prince-By-My-Side-To-Be-A-Princess-50497.html,89,72,2018,56,161,17,0.15902964959568733,0.5527950310559007,56.0,490.0,0.5268817204301075
Cologne of the Missions Le Couvent Maison de Parfum (unisex) ~ 2011,https://www.fragrantica.com/perfume/Le-Couvent-Maison-de-Parfum/Cologne-of-the-Missions-18811.html,76,49,2011,57,125,27,0.18598382749326148,0.608,57.0,489.0,0.5666666666666667
Fahrenheit Le Parfum Dior (male) ~ 2014,https://www.fragrantica.com/perfume/Dior/Fahrenheit-Le-Parfum-23099.html,107,112,2014,58,219,-5,0.09973045822102426,0.4885844748858447,58.0,488.0,0.47540983606557374
Olympéa Paco Rabanne (female) ~ 2015,https://www.fragrantica.com/perfume/Paco-Rabanne/Olympea-31666.html,86,71,2015,59,157,15,0.15363881401617252,0.5477707006369427,59.0,487.0,0.521978021978022
Dama Bianca Xerjoff (female) ~ 2012,https://www.fragrantica.com/perfume/Xerjoff/Dama-Bianca-15555.html,71,43,2012,60,114,28,0.18867924528301888,0.6228070175438597,60.0,486.0,0.5755395683453237
