name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Dior Homme Intense 2011 Dior (male) ~ 2011,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,368,235,2011,1,603,133,0.988095238095238,0.6102819237147595,1.0,714.0,0.6022364217252396
Terre d'Hermes Parfum Hermès (male) ~ 2009,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Parfum-8282.html,390,281,2009,2,671,109,0.8452380952380951,0.5812220566318927,2.0,713.0,0.5749279538904899
Aventus Creed (male) ~ 2010,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,400,307,2010,3,707,93,0.7499999999999999,0.5657708628005658,3.0,712.0,0.5602739726027397
Dior Homme Parfum Dior (male) ~ 2014,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html,363,234,2014,4,597,129,0.9642857142857142,0.6080402010050251,4.0,711.0,0.6
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html,326,214,2009,5,540,112,0.863095238095238,0.6037037037037037,5.0,710.0,0.5950266429840142
Encre Noire Lalique (male) ~ 2006,https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,290,155,2006,6,445,135,0.9999999999999999,0.651685393258427,6.0,709.0,0.6388888888888888
Terre d'Hermès Hermès (male) ~ 2006,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,277,147,2006,7,424,130,0.9702380952380951,0.6533018867924528,7.0,708.0,0.639821029082774
Oud Wood Tom Ford (unisex) ~ 2007,https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-1826.html,254,135,2007,8,389,119,0.9047619047619047,0.6529562982005142,8.0,707.0,0.6383495145631068
Fahrenheit Dior (male) ~ 1988,https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html,288,209,1988,9,497,79,0.6666666666666666,0.579476861167002,9.0,706.0,0.5711538461538461
Bleu de Chanel Chanel (male) ~ 2010,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-9099.html,278,214,2010,10,492,64,0.5773809523809523,0.5650406504065041,10.0,705.0,0.5572815533980583
Valentino Uomo Intense Valentino (male) ~ 2016,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Intense-38254.html,238,147,2016,11,385,91,0.738095238095238,0.6181818181818182,11.0,704.0,0.6053921568627451
Tuscan Leather Tom Ford (unisex) ~ 2007,https://www.fragrantica.com/perfume/Tom-Ford/Tuscan-Leather-1849.html,211,124,2007,12,335,87,0.7142857142857142,0.6298507462686567,12.0,703.0,0.6145251396648045
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,223,154,2015,13,377,69,0.6071428571428571,0.5915119363395226,13.0,702.0,0.58
Green Irish Tweed Creed (male) ~ 1985,https://www.fragrantica.com/perfume/Creed/Green-Irish-Tweed-474.html,196,108,1985,14,304,88,0.7202380952380951,0.6447368421052632,14.0,701.0,0.6269113149847095
The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-Eau-de-Parfum-31909.html,195,106,2015,15,301,89,0.7261904761904762,0.6478405315614618,15.0,700.0,0.6296296296296297
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,208,133,2014,16,341,75,0.6428571428571428,0.6099706744868035,16.0,699.0,0.5961538461538461
Herod Parfums de Marly (male) ~ 2012,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html,178,85,2012,17,263,93,0.7499999999999999,0.6768060836501901,17.0,698.0,0.6538461538461539
Dior Homme Dior (male) ~ 2011,https://www.fragrantica.com/perfume/Dior/Dior-Homme-13015.html,188,117,2011,18,305,71,0.6190476190476191,0.6163934426229508,18.0,697.0,0.600609756097561
Allure Homme Edition Blanche Eau de Parfum Chanel (male) ~ 2014,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Edition-Blanche-Eau-de-Parfum-28942.html,175,92,2014,19,267,83,0.6904761904761905,0.6554307116104869,19.0,696.0,0.6344827586206897
Egoiste Chanel (male) ~ 1990,https://www.fragrantica.com/perfume/Chanel/Egoiste-613.html,188,127,1990,20,315,61,0.5595238095238095,0.5968253968253968,20.0,695.0,0.5828402366863905
