name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
L'Homme Idéal Extrême Guerlain (male) ~ 2020,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Extreme-60284.html,870,494,2020,1,1364,376,0.9999999999999999,0.6378299120234604,1.0,366.0,0.6324786324786325
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,820,549,2020,2,1369,271,0.7707423580786026,0.5989773557341125,2.0,365.0,0.5947480482611781
Beau De Jour Eau de Parfum Tom Ford (male) ~ 2020,https://www.fragrantica.com/perfume/Tom-Ford/Beau-De-Jour-Eau-de-Parfum-59064.html,757,436,2020,3,1193,321,0.8799126637554584,0.6345347862531433,3.0,364.0,0.6285482562854826
Acqua di Giò Profondo Giorgio Armani (male) ~ 2020,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html,814,568,2020,4,1382,246,0.7161572052401746,0.5890014471780028,4.0,363.0,0.5850914205344585
Toy Boy Moschino (male) ~ 2019,https://www.fragrantica.com/perfume/Moschino/Toy-Boy-55858.html,876,707,2019,5,1583,169,0.5480349344978166,0.5533796588755527,5.0,362.0,0.5508317929759704
Explorer Montblanc (male) ~ 2019,https://www.fragrantica.com/perfume/Montblanc/Explorer-52002.html,721,415,2019,6,1136,306,0.8471615720524017,0.6346830985915493,6.0,361.0,0.6284013605442177
Interlude Black Iris Amouage (unisex) ~ 2020,https://www.fragrantica.com/perfume/Amouage/Interlude-Black-Iris-60929.html,621,289,2020,7,910,332,0.9039301310043667,0.6824175824175824,7.0,360.0,0.6726315789473685
Pasha de Cartier Parfum Cartier (male) ~ 2020,https://www.fragrantica.com/perfume/Cartier/Pasha-de-Cartier-Parfum-59418.html,520,244,2020,8,764,276,0.7816593886462881,0.680628272251309,8.0,359.0,0.6691542288557214
Sauvage Parfum Dior (male) ~ 2019,https://www.fragrantica.com/perfume/Dior/Sauvage-Parfum-56324.html,756,764,2019,9,1520,-8,0.1615720524017467,0.49736842105263157,9.0,358.0,0.49615384615384617
Angels' Share By Kilian (unisex) ~ 2020,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,465,270,2020,10,735,195,0.6048034934497817,0.6326530612244898,10.0,357.0,0.6232258064516129
Dior Homme 2020 Dior (male) ~ 2020,https://www.fragrantica.com/perfume/Dior/Dior-Homme-2020-58714.html,630,630,2020,11,1260,0,0.17903930131004367,0.5,11.0,356.0,0.49846153846153846
Emporio Armani Stronger With You Intensely Giorgio Armani (male) ~ 2019,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html,513,396,2019,12,909,117,0.4344978165938864,0.5643564356435643,12.0,355.0,0.559536354056902
Eros Eau de Parfum Versace (male) ~ 2020,https://www.fragrantica.com/perfume/Versace/Eros-Eau-de-Parfum-62762.html,488,430,2020,13,918,58,0.3056768558951965,0.5315904139433552,13.0,354.0,0.5281837160751566
Enigma Pour Homme Parfum Cologne Roja Dove (male) ~ 2019,https://www.fragrantica.com/perfume/Roja-Dove/Enigma-Pour-Homme-Parfum-Cologne-57876.html,361,223,2019,14,584,138,0.48034934497816595,0.6181506849315068,14.0,353.0,0.6073717948717948
Terre d'Hermes Flacon H 2019 Eau de Toilette Hermès (male) ~ 2019,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Flacon-H-2019-Eau-de-Toilette-53461.html,322,161,2019,15,483,161,0.5305676855895196,0.6666666666666666,15.0,352.0,0.6500956022944551
Armani Code Absolu Giorgio Armani (male) ~ 2019,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-53106.html,268,86,2019,16,354,182,0.5764192139737991,0.7570621468926554,16.0,351.0,0.7258883248730964
Gentleman Eau de Parfum Boisée Givenchy (male) ~ 2020,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Eau-de-Parfum-Boisee-59009.html,320,217,2020,17,537,103,0.4039301310043668,0.595903165735568,17.0,350.0,0.58578856152513
Black Orchid Parfum Tom Ford (unisex) ~ 2020,https://www.fragrantica.com/perfume/Tom-Ford/Black-Orchid-Parfum-62199.html,306,197,2020,18,503,109,0.41703056768558955,0.6083499005964215,18.0,349.0,0.5966850828729282
Gentleman Cologne Givenchy (male) ~ 2019,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Cologne-53694.html,334,255,2019,19,589,79,0.35152838427947597,0.567062818336163,19.0,348.0,0.5596184419713831
Oud Eau de Parfum Acqua di Parma (unisex) ~ 2019,https://www.fragrantica.com/perfume/Acqua-di-Parma/Oud-Eau-de-Parfum-55998.html,269,161,2019,20,430,108,0.41484716157205237,0.6255813953488372,20.0,347.0,0.6106382978723405
Ani Nishane (unisex) ~ 2019,https://www.fragrantica.com/perfume/Nishane/Ani-54785.html,237,98,2019,21,335,139,0.482532751091703,0.7074626865671642,21.0,346.0,0.68
Gravitas Pour Homme Naughton & Wilson (male) ~ 2020,https://www.fragrantica.com/perfume/Naughton-Wilson/Gravitas-Pour-Homme-61015.html,228,82,2020,22,310,146,0.4978165938864628,0.7354838709677419,22.0,345.0,0.7028571428571428
