name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Aqua Allegoria Forte Bosca Vanilla Guerlain (unisex) ~ 2023,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Forte-Bosca-Vanilla-83152.html,23,2696,2023,310,2719,-2673,0.005284650492433318,0.008458992276572269,311.0,477.0,0.006266126059712496
His Confession Lattafa Perfumes (male) ~ 2024,https://www.fragrantica.com/perfume/Lattafa-Perfumes/His-Confession-96866.html,31,2696,2024,311,2727,-2665,0.007206341580590858,0.011367803447011368,312.0,476.0,0.007729112992270887
Nostos Etat Libre d'Orange (unisex) ~ 2023,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Nostos-83820.html,15,2696,2023,312,2711,-2681,0.0033629594042757782,0.005533013648100332,313.0,475.0,0.004798818752307124
Vibrant Leather Explosion Zara (male) ~ 2024,https://www.fragrantica.com/perfume/Zara/Vibrant-Leather-Explosion-92814.html,18,2696,2024,313,2714,-2678,0.004083593562334786,0.006632277081798084,314.0,474.0,0.005349566500645637
Moncler Sunrise pour Homme Moncler (male) ~ 2023,https://www.fragrantica.com/perfume/Moncler/Moncler-Sunrise-pour-Homme-88139.html,16,2696,2023,314,2712,-2680,0.0036031707902954846,0.0058997050147492625,315.0,473.0,0.004982469090238051
Sexiest Fougere Theodoros Kalotinis (unisex) ~ 2024,https://www.fragrantica.com/perfume/Theodoros-Kalotinis/Sexiest-Fougere-92256.html,20,2696,2024,315,2716,-2676,0.004564016334374199,0.007363770250368188,316.0,472.0,0.005716393140328232
Myrrh & Tonka Limited Edition Jo Malone London (unisex) ~ 2024,https://www.fragrantica.com/perfume/Jo-Malone-London/Myrrh-Tonka-Limited-Edition-98100.html,14,2696,2024,316,2710,-2682,0.003122748018256072,0.0051660516605166054,317.0,471.0,0.0046151006091932805
Valentino Uomo Born In Roma Rockstud Noir Valentino (male) ~ 2023,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Rockstud-Noir-84445.html,17,2696,2023,317,2713,-2679,0.00384338217631508,0.006266126059712496,318.0,470.0,0.0051660516605166054
Cosmic Pepper Mancera (unisex) ~ 2023,https://www.fragrantica.com/perfume/Mancera/Cosmic-Pepper-81804.html,17,2696,2023,318,2713,-2679,0.00384338217631508,0.006266126059712496,319.0,469.0,0.0051660516605166054
Tubéreuse Astrale Maison Crivelli (unisex) ~ 2024,https://www.fragrantica.com/perfume/Maison-Crivelli/Tubereuse-Astrale-90733.html,15,2696,2024,319,2711,-2681,0.0033629594042757782,0.005533013648100332,320.0,468.0,0.004798818752307124
Light Blue Pour Homme Summer Vibes Dolce&Gabbana (male) ~ 2023,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Pour-Homme-Summer-Vibes-80377.html,13,2696,2023,320,2709,-2683,0.0028825366322363655,0.004798818752307124,321.0,467.0,0.004431314623338257
HÆC DIES Filippo Sorcinelli (unisex) ~ 2023,https://www.fragrantica.com/perfume/Filippo-Sorcinelli/HAEC-DIES-80049.html,23,2696,2023,321,2719,-2673,0.005284650492433318,0.008458992276572269,322.0,466.0,0.006266126059712496
Tonka Hysteria D’ORSAY (unisex) ~ 2024,https://www.fragrantica.com/perfume/D-ORSAY/Tonka-Hysteria-96259.html,17,2696,2024,322,2713,-2679,0.00384338217631508,0.006266126059712496,323.0,465.0,0.0051660516605166054
Ferragamo Red Leather Salvatore Ferragamo (male) ~ 2024,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Ferragamo-Red-Leather-90449.html,16,2696,2024,323,2712,-2680,0.0036031707902954846,0.0058997050147492625,324.0,464.0,0.004982469090238051
Encens Precieux Van Cleef & Arpels (unisex) ~ 2024,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Encens-Precieux-90406.html,14,2696,2024,324,2710,-2682,0.003122748018256072,0.0051660516605166054,325.0,463.0,0.0046151006091932805
Kismet Magic Maison Alhambra (unisex) ~ 2024,https://www.fragrantica.com/perfume/Maison-Alhambra/Kismet-Magic-95138.html,15,2696,2024,325,2711,-2681,0.0033629594042757782,0.005533013648100332,326.0,462.0,0.004798818752307124
Synthetic Nature Frederic Malle (unisex) ~ 2024,https://www.fragrantica.com/perfume/Frederic-Malle/Synthetic-Nature-89055.html,12,2696,2024,326,2708,-2684,0.002642325246216659,0.004431314623338257,327.0,461.0,0.004247460757156048
Memories Gold Superz. (unisex) ~ 2024,https://www.fragrantica.com/perfume/Superz/Memories-Gold-91336.html,32,2696,2024,327,2728,-2664,0.0074465529666105645,0.011730205278592375,328.0,460.0,0.007911683532658694
Feroce Pour Homme Fragrance World (male) ~ 2024,https://www.fragrantica.com/perfume/Fragrance-World/Feroce-Pour-Homme-94029.html,22,2696,2024,328,2718,-2674,0.005044439106413612,0.008094186902133923,329.0,459.0,0.00608294930875576
Ambre Impérial Le Parfum Van Cleef & Arpels (unisex) ~ 2024,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Ambre-Imperial-Le-Parfum-99334.html,13,2696,2024,329,2709,-2683,0.0028825366322363655,0.004798818752307124,330.0,458.0,0.004431314623338257
Fantasque Givenchy (unisex) ~ 2024,https://www.fragrantica.com/perfume/Givenchy/Fantasque-89991.html,11,2696,2024,330,2707,-2685,0.0024021138601969527,0.004063538973032878,331.0,457.0,0.004063538973032878
Monsieur Bienaimé (male) ~ 2024,https://www.fragrantica.com/perfume/Bienaime/Monsieur-98977.html,24,2696,2024,331,2720,-2672,0.0055248618784530246,0.008823529411764706,332.0,456.0,0.006449235304956698
The Language Of Glaciers Imaginary Authors (unisex) ~ 2024,https://www.fragrantica.com/perfume/Imaginary-Authors/The-Language-Of-Glaciers-89910.html,19,2696,2024,332,2715,-2677,0.004323804948354493,0.006998158379373849,333.0,455.0,0.005533013648100332
Lineage Amouage (unisex) ~ 2023,https://www.fragrantica.com/perfume/Amouage/Lineage-78654.html,16,2696,2023,333,2712,-2680,0.0036031707902954846,0.0058997050147492625,334.0,454.0,0.004982469090238051
Island Lush Goldfield & Banks Australia (unisex) ~ 2023,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Island-Lush-77139.html,17,2696,2023,334,2713,-2679,0.00384338217631508,0.006266126059712496,335.0,453.0,0.0051660516605166054
Ichigo Ichie Toskovat' (unisex) ~ 2023,https://www.fragrantica.com/perfume/Toskovat/Ichigo-Ichie-88876.html,10,2696,2023,335,2706,-2686,0.0021619024741772463,0.003695491500369549,336.0,452.0,0.0038795492333271752
Atomic Rose Hair Perfume Initio Parfums Prives (unisex) ~ 2024,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Atomic-Rose-Hair-Perfume-96604.html,11,2696,2024,336,2707,-2685,0.0024021138601969527,0.004063538973032878,337.0,451.0,0.004063538973032878
Luna Aaron Terence Hughes (unisex) ~ 2023,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Luna-83045.html,14,2696,2023,337,2710,-2682,0.003122748018256072,0.0051660516605166054,338.0,450.0,0.0046151006091932805
Caspian Cherry Electimuss (unisex) ~ 2024,https://www.fragrantica.com/perfume/Electimuss/Caspian-Cherry-97641.html,14,2696,2024,338,2710,-2682,0.003122748018256072,0.0051660516605166054,339.0,449.0,0.0046151006091932805
Afternoon Delight Maison Martin Margiela (unisex) ~ 2024,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Afternoon-Delight-95923.html,16,2696,2024,339,2712,-2680,0.0036031707902954846,0.0058997050147492625,340.0,448.0,0.004982469090238051
