name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Le Male Elixir Jean Paul Gaultier (male) ~ 2023,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,4652,2505,2023,1,7157,2147,1.0,0.6499930138326114,1.0,481.0,0.6468879668049793
Gentleman Eau de Parfum Reserve Privée Givenchy (male) ~ 2022,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Eau-de-Parfum-Reserve-Privee-71272.html,3744,1721,2022,2,5465,2023,0.9476572393414943,0.6850869167429094,2.0,480.0,0.6805706031058144
Le Beau Le Parfum Jean Paul Gaultier (male) ~ 2022,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html,2866,1762,2022,3,4628,1104,0.559729843815956,0.6192739844425238,3.0,479.0,0.6149755371197617
Terre d'Hermes Eau Givree Hermès (male) ~ 2022,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Eau-Givree-72439.html,2649,1572,2022,4,4221,1077,0.548332629801604,0.6275764036958067,4.0,478.0,0.6227293898462971
The Most Wanted Parfum Azzaro (male) ~ 2022,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-Parfum-73664.html,2478,1367,2022,5,3845,1111,0.5626846770789362,0.6444733420026008,5.0,477.0,0.6388463501786625
Acqua di Giò Parfum Giorgio Armani (male) ~ 2023,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html,2312,1434,2023,6,3746,878,0.4643309413254537,0.6171916711158569,6.0,476.0,0.6119402985074627
Noir Extreme Parfum Tom Ford (male) ~ 2022,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-Parfum-75489.html,2182,1273,2022,7,3455,909,0.4774166314900802,0.631548480463097,7.0,475.0,0.6255668934240363
Valentino Uomo Born In Roma Intense Valentino (male) ~ 2023,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Intense-78740.html,1887,1011,2023,8,2898,876,0.4634867032503166,0.6511387163561076,8.0,474.0,0.6435543588017503
Khamrah Lattafa Perfumes (unisex) ~ 2022,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,2092,1513,2022,9,3605,579,0.33811734909244406,0.5803051317614425,9.0,473.0,0.575584556824361
Angels' Share Anniversary Edition By Kilian (unisex) ~ 2022,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-Anniversary-Edition-77132.html,1568,637,2022,10,2205,931,0.48670325031658923,0.7111111111111111,10.0,472.0,0.699297629499561
Armani Code Parfum Giorgio Armani (male) ~ 2022,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html,1786,1131,2022,11,2917,655,0.37019839594765724,0.6122728830990743,11.0,471.0,0.605685618729097
Dior Homme Sport 2021 Dior (male) ~ 2022,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Sport-2021-71326.html,1818,1265,2022,12,3083,553,0.3271422541156606,0.5896853713915018,12.0,470.0,0.5839670468948035
Althaïr Parfums de Marly (male) ~ 2023,https://www.fragrantica.com/perfume/Parfums-de-Marly/Althair-84109.html,1650,1123,2023,13,2773,527,0.31616715913887716,0.5950234403173459,13.0,469.0,0.5885453267744203
Y Eau de Parfum Intense Yves Saint Laurent (male) ~ 2023,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-Intense-79243.html,1572,1048,2023,14,2620,524,0.3149008020261714,0.6,14.0,468.0,0.5930189379873747
Gris Charnel Extrait BDK Parfums (unisex) ~ 2022,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-Extrait-73645.html,1371,882,2022,15,2253,489,0.3001266357112706,0.6085219707057257,15.0,467.0,0.6001719690455718
Dior Homme Cologne 2022 Dior (male) ~ 2022,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2022-72062.html,1174,777,2022,16,1951,397,0.26129168425495986,0.601742696053306,16.0,466.0,0.592391304347826
Boss Bottled Elixir Hugo Boss (male) ~ 2023,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Bottled-Elixir-84074.html,1122,786,2023,17,1908,336,0.23554242296327563,0.5880503144654088,17.0,465.0,0.5790005047955578
L’Homme Idéal Platine Privé Guerlain (male) ~ 2023,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Platine-Prive-80691.html,988,656,2023,18,1644,332,0.23385394681300126,0.6009732360097324,18.0,464.0,0.5899825276645312
Invictus Victory Elixir Paco Rabanne (male) ~ 2023,https://www.fragrantica.com/perfume/Paco-Rabanne/Invictus-Victory-Elixir-78575.html,1051,805,2023,19,1856,246,0.19755170958210216,0.5662715517241379,19.0,463.0,0.5578019699326076
Luna Rossa Ocean Eau de Parfum Prada (male) ~ 2023,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-Ocean-Eau-de-Parfum-81280.html,1036,789,2023,20,1825,247,0.19797382861967072,0.5676712328767123,20.0,462.0,0.5590094836670179
Club de Nuit Intense Man Parfum Armaf (male) ~ 2022,https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-Parfum-72842.html,1291,1302,2022,21,2593,-11,0.0890671169269734,0.4978789047435403,21.0,461.0,0.49362340585146286
Kenzo Homme Eau de Parfum Kenzo (male) ~ 2022,https://www.fragrantica.com/perfume/Kenzo/Kenzo-Homme-Eau-de-Parfum-73225.html,914,619,2022,22,1533,295,0.21823554242296328,0.5962165688193085,22.0,460.0,0.5846824408468244
Opus XIV – Royal Tobacco Amouage (unisex) ~ 2022,https://www.fragrantica.com/perfume/Amouage/Opus-XIV-Royal-Tobacco-75064.html,967,801,2022,23,1768,166,0.16378218657661459,0.5469457013574661,23.0,459.0,0.538837588267246
Tonka Cola Mancera (unisex) ~ 2022,https://www.fragrantica.com/perfume/Mancera/Tonka-Cola-76893.html,920,794,2022,24,1714,126,0.14689742507387082,0.5367561260210035,24.0,458.0,0.5288192501398993
Scandal Pour Homme Le Parfum Jean Paul Gaultier (male) ~ 2022,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-Le-Parfum-74915.html,865,710,2022,25,1575,155,0.15913887716336006,0.5492063492063493,25.0,457.0,0.5400485436893204
Habit Rouge Rouge Privé Guerlain (male) ~ 2023,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Rouge-Prive-80690.html,797,630,2023,26,1427,167,0.1642043056141832,0.5585143658023827,26.0,456.0,0.548
Red Tobacco Intense Mancera (unisex) ~ 2023,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-Intense-84246.html,943,948,2023,27,1891,-5,0.09159983115238497,0.4986779481755685,27.0,455.0,0.49287169042769857
Acqua di Giò Eau de Parfum Giorgio Armani (male) ~ 2022,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Eau-de-Parfum-71606.html,819,776,2022,28,1595,43,0.1118615449556775,0.5134796238244514,28.0,454.0,0.5059952038369304
Spicebomb Infrared Eau de Parfum Viktor&Rolf (male) ~ 2023,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Infrared-Eau-de-Parfum-81409.html,780,699,2023,29,1479,81,0.12790206838328408,0.5273833671399595,29.0,453.0,0.5186855670103093
H24 Eau de Parfum Hermès (male) ~ 2022,https://www.fragrantica.com/perfume/Hermes/H24-Eau-de-Parfum-75811.html,774,728,2022,30,1502,46,0.11312790206838327,0.5153129161118508,30.0,452.0,0.5073015873015873
Valentino Uomo Born In Roma Coral Fantasy Valentino (male) ~ 2022,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Coral-Fantasy-71761.html,684,602,2022,31,1286,82,0.12832418742085266,0.5318818040435459,31.0,451.0,0.5217071376011774
