,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
40,Armani Code Absolu pour Homme Giorgio Armani 2019,Althaïr Parfums de Marly 2023,0.886,0.999,0.985,0.935
41,Armani Code Absolu pour Homme Giorgio Armani 2019,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.753,0.972,0.989,0.677
42,Armani Code Absolu pour Homme Giorgio Armani 2019,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.579,0.787,0.712,0.986
43,Armani Code Absolu pour Homme Giorgio Armani 2019,Angels' Share Kilian 2020,0.87,0.988,0.98,0.817
44,Armani Code Absolu pour Homme Giorgio Armani 2019,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.191,0.648,0.536,0.996
45,Armani Code Giorgio Armani 2021 EAU DE PARFUM,1 Million Elixir Paco Rabanne 2022,0.717,0.928,0.993,0.951
46,Armani Code Giorgio Armani 2021 EAU DE PARFUM,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.8,0.948,0.994,0.95
47,Armani Code Giorgio Armani 2021 EAU DE PARFUM,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.801,0.979,0.967,0.984
48,Armani Code Giorgio Armani 2021 EAU DE PARFUM,Acqua di Giò Parfum Giorgio Armani 2023,0.421,0.863,0.763,0.98
49,Armani Code Giorgio Armani 2021 EAU DE PARFUM,Althaïr Parfums de Marly 2023,0.733,0.965,0.94,0.939
50,Armani Code Giorgio Armani 2021 EAU DE PARFUM,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.793,0.991,0.998,0.686
51,Armani Code Giorgio Armani 2021 EAU DE PARFUM,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.794,0.912,0.819,0.984
52,Armani Code Giorgio Armani 2021 EAU DE PARFUM,Angels' Share Kilian 2020,0.741,0.913,0.928,0.829
53,Armani Code Giorgio Armani 2021 EAU DE PARFUM,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.416,0.794,0.66,0.999
54,Armani Code Giorgio Armani 2021 EAU DE PARFUM,Armani Code Absolu pour Homme Giorgio Armani 2019,0.836,0.964,0.982,0.992
55,Artisan Pure John Varvatos 2017,1 Million Elixir Paco Rabanne 2022,0.118,0.534,0.37,0.969
56,Artisan Pure John Varvatos 2017,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.051,0.57,0.454,0.964
57,Artisan Pure John Varvatos 2017,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.348,0.66,0.629,0.976
58,Artisan Pure John Varvatos 2017,Acqua di Giò Parfum Giorgio Armani 2023,0.62,0.969,0.92,0.971
59,Artisan Pure John Varvatos 2017,Althaïr Parfums de Marly 2023,0.13,0.607,0.179,0.969
60,Artisan Pure John Varvatos 2017,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.237,0.741,0.429,0.741
61,Artisan Pure John Varvatos 2017,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.722,0.95,0.887,0.996
62,Artisan Pure John Varvatos 2017,Angels' Share Kilian 2020,0.106,0.49,0.159,0.871
63,Artisan Pure John Varvatos 2017,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.635,0.995,0.973,0.995
64,Artisan Pure John Varvatos 2017,Armani Code Absolu pour Homme Giorgio Armani 2019,0.097,0.599,0.344,0.99
65,Artisan Pure John Varvatos 2017,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.435,0.754,0.478,0.993
66,Aventus Creed 2010,1 Million Elixir Paco Rabanne 2022,0.432,0.825,0.774,0.938
67,Aventus Creed 2010,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.386,0.854,0.822,0.938
68,Aventus Creed 2010,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.542,0.909,0.925,0.97
69,Aventus Creed 2010,Acqua di Giò Parfum Giorgio Armani 2023,0.526,0.963,0.99,0.993
70,Aventus Creed 2010,Althaïr Parfums de Marly 2023,0.226,0.88,0.624,0.912
71,Aventus Creed 2010,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.298,0.947,0.811,0.622
72,Aventus Creed 2010,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.748,0.983,0.998,0.964
73,Aventus Creed 2010,Angels' Share Kilian 2020,0.273,0.802,0.604,0.781
74,Aventus Creed 2010,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.578,0.926,0.959,0.993
75,Aventus Creed 2010,Armani Code Absolu pour Homme Giorgio Armani 2019,0.345,0.878,0.747,0.981
76,Aventus Creed 2010,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.531,0.962,0.843,0.994
77,Aventus Creed 2010,Artisan Pure John Varvatos 2017,0.683,0.898,0.871,0.983
78,Awake Akro 2018,1 Million Elixir Paco Rabanne 2022,0.546,0.871,0.998,0.82
