,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
1186,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.907,0.976,0.996,0.997
1187,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Artisan Pure John Varvatos 2017,0.229,0.624,0.55,0.995
1188,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Aventus Creed 2010,0.443,0.897,0.886,0.992
1189,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Awake Akro 2018,0.669,0.914,0.985,0.833
1190,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bad Boy Cobalt Carolina Herrera 2022,0.607,0.822,0.896,0.973
1191,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bentley for Men Absolute Bentley 2014,0.534,0.987,0.961,0.921
1192,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.285,0.627,0.672,0.851
1193,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.462,0.802,0.888,0.996
1194,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bon Monsieur Rogue 2020,0.427,0.859,0.906,0.917
1195,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Boss Bottled Elixir Hugo Boss 2023,0.713,0.989,0.941,0.959
1196,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Boss Bottled Parfum Hugo Boss 2022,0.767,0.962,0.993,0.992
1197,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Chrome Azzaro 1996 EAU DE TOILETTE,0.376,0.598,0.69,0.994
1198,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Chrome Extrême Azzaro 2020,0.188,0.7,0.664,0.99
1199,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Cigar Rum Strangers Parfumerie 2017,0.672,0.978,0.989,0.891
1200,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Club Black Mercedes-Benz 2017,0.675,0.998,0.925,0.966
1201,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.44,0.76,0.71,0.967
1202,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dark Akro 2018,0.684,0.959,0.961,0.817
1203,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dior Homme Cologne Dior 2013,0.143,0.585,0.577,0.982
1204,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.61,0.79,0.848,0.994
1205,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dior Homme Intense Dior 2011,0.722,0.994,0.966,0.967
1206,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dior Homme Parfum Dior 2014,0.641,0.989,0.96,0.953
1207,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Eau Parfumée au Thé Blanc Bvlgari 2003,0.43,0.64,0.767,0.685
1208,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Eau Parfumée au Thé Vert Bvlgari 1992,0.349,0.54,0.663,0.675
1209,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Eau de Soleil Blanc Tom Ford 2017,0.333,0.77,0.603,0.725
1210,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.797,0.986,0.9,0.998
1211,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Eros Versace 2020 EAU DE PARFUM,0.549,0.97,0.962,0.963
1212,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Explorer Montblanc 2019,0.385,0.757,0.876,0.996
1213,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,First Instinct Together Man Abercrombie & Fitch 2020,0.342,0.516,0.78,0.964
1214,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Gentleman Givenchy Réserve Privée Givenchy 2022,0.817,0.996,0.936,0.962
1215,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.451,0.777,0.888,0.955
1216,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.81,0.862,0.922,0.992
1217,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Haltane Parfums de Marly 2021,0.863,0.998,0.978,0.939
1218,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Hero Burberry 2022 EAU DE PARFUM,0.77,0.931,0.975,0.999
1219,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Herod Parfums de Marly 2012,0.858,0.996,0.924,0.974
1220,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Hugo Iced Hugo Boss 2017,0.281,0.534,0.659,0.998
1221,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Invictus Platinum Paco Rabanne 2022,0.525,0.834,0.85,0.946
1222,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Invictus Victory Paco Rabanne 2021,0.761,0.992,0.994,0.979
1223,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Jimmy Choo Man Aqua Jimmy Choo 2022,0.312,0.549,0.645,0.981
1224,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.374,0.698,0.72,0.996
1225,Layton Parfums de Marly 2016,1 Million Elixir Paco Rabanne 2022,0.85,0.971,0.991,0.971
1226,Layton Parfums de Marly 2016,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.894,0.982,0.993,0.969
1227,Layton Parfums de Marly 2016,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.854,0.996,0.971,0.989
1228,Layton Parfums de Marly 2016,Acqua di Giò Parfum Giorgio Armani 2023,0.292,0.8,0.773,0.971
1229,Layton Parfums de Marly 2016,Althaïr Parfums de Marly 2023,0.781,0.991,0.933,0.948
1230,Layton Parfums de Marly 2016,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.672,0.989,0.997,0.698
1231,Layton Parfums de Marly 2016,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.723,0.859,0.829,0.991
1232,Layton Parfums de Marly 2016,Angels' Share Kilian 2020,0.828,0.958,0.922,0.837
1233,Layton Parfums de Marly 2016,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.3,0.734,0.674,0.999
1234,Layton Parfums de Marly 2016,Armani Code Absolu pour Homme Giorgio Armani 2019,0.878,0.989,0.979,0.997
1235,Layton Parfums de Marly 2016,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.839,0.989,1.0,0.997
1236,Layton Parfums de Marly 2016,Artisan Pure John Varvatos 2017,0.231,0.693,0.493,0.997
1237,Layton Parfums de Marly 2016,Aventus Creed 2010,0.605,0.929,0.852,0.989
1238,Layton Parfums de Marly 2016,Awake Akro 2018,0.717,0.949,0.993,0.847
1239,Layton Parfums de Marly 2016,Bad Boy Cobalt Carolina Herrera 2022,0.76,0.869,0.864,0.972
1240,Layton Parfums de Marly 2016,Bentley for Men Absolute Bentley 2014,0.445,0.992,0.976,0.921
1241,Layton Parfums de Marly 2016,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.31,0.692,0.621,0.866
1242,Layton Parfums de Marly 2016,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.455,0.847,0.854,0.993
1243,Layton Parfums de Marly 2016,Bon Monsieur Rogue 2020,0.361,0.899,0.875,0.917
1244,Layton Parfums de Marly 2016,Boss Bottled Elixir Hugo Boss 2023,0.619,0.992,0.961,0.955
1245,Layton Parfums de Marly 2016,Boss Bottled Parfum Hugo Boss 2022,0.808,0.981,0.992,0.988
1246,Layton Parfums de Marly 2016,Chrome Azzaro 1996 EAU DE TOILETTE,0.333,0.664,0.64,0.992
1247,Layton Parfums de Marly 2016,Chrome Extrême Azzaro 2020,0.302,0.756,0.611,0.985
1248,Layton Parfums de Marly 2016,Cigar Rum Strangers Parfumerie 2017,0.767,0.983,0.996,0.902
1249,Layton Parfums de Marly 2016,Club Black Mercedes-Benz 2017,0.775,0.994,0.947,0.973
1250,Layton Parfums de Marly 2016,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.425,0.816,0.661,0.973
1251,Layton Parfums de Marly 2016,Dark Akro 2018,0.713,0.97,0.975,0.832
1252,Layton Parfums de Marly 2016,Dior Homme Cologne Dior 2013,0.224,0.65,0.522,0.986
1253,Layton Parfums de Marly 2016,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.54,0.839,0.81,0.996
1254,Layton Parfums de Marly 2016,Dior Homme Intense Dior 2011,0.664,0.977,0.98,0.971
1255,Layton Parfums de Marly 2016,Dior Homme Parfum Dior 2014,0.54,0.968,0.975,0.955
1256,Layton Parfums de Marly 2016,Eau Parfumée au Thé Blanc Bvlgari 2003,0.375,0.704,0.722,0.703
1257,Layton Parfums de Marly 2016,Eau Parfumée au Thé Vert Bvlgari 1992,0.276,0.612,0.612,0.695
1258,Layton Parfums de Marly 2016,Eau de Soleil Blanc Tom Ford 2017,0.46,0.831,0.549,0.742
1259,Layton Parfums de Marly 2016,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.818,0.967,0.925,0.998
1260,Layton Parfums de Marly 2016,Eros Versace 2020 EAU DE PARFUM,0.664,0.985,0.941,0.96
1261,Layton Parfums de Marly 2016,Explorer Montblanc 2019,0.475,0.808,0.84,0.992
1262,Layton Parfums de Marly 2016,First Instinct Together Man Abercrombie & Fitch 2020,0.491,0.588,0.738,0.968
1263,Layton Parfums de Marly 2016,Gentleman Givenchy Réserve Privée Givenchy 2022,0.777,0.982,0.957,0.959
1264,Layton Parfums de Marly 2016,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.386,0.824,0.854,0.955
1265,Layton Parfums de Marly 2016,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.756,0.903,0.893,0.995
1266,Layton Parfums de Marly 2016,Haltane Parfums de Marly 2021,0.758,0.991,0.988,0.939
1267,Layton Parfums de Marly 2016,Hero Burberry 2022 EAU DE PARFUM,0.756,0.96,0.983,0.999
1268,Layton Parfums de Marly 2016,Herod Parfums de Marly 2012,0.898,0.985,0.946,0.979
1269,Layton Parfums de Marly 2016,Hugo Iced Hugo Boss 2017,0.298,0.608,0.606,0.999
1270,Layton Parfums de Marly 2016,Invictus Platinum Paco Rabanne 2022,0.593,0.878,0.813,0.947
1271,Layton Parfums de Marly 2016,Invictus Victory Paco Rabanne 2021,0.722,0.996,0.997,0.976
1272,Layton Parfums de Marly 2016,Jimmy Choo Man Aqua Jimmy Choo 2022,0.265,0.618,0.591,0.979
1273,Layton Parfums de Marly 2016,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.367,0.757,0.672,0.997
1274,Layton Parfums de Marly 2016,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.875,0.994,0.998,1.0
1275,Le Mâle Elixir Jean Paul Gaultier 2023,1 Million Elixir Paco Rabanne 2022,0.729,0.999,0.994,0.991
1276,Le Mâle Elixir Jean Paul Gaultier 2023,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.755,0.998,0.988,0.987
1277,Le Mâle Elixir Jean Paul Gaultier 2023,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.691,0.987,0.9,0.98
1278,Le Mâle Elixir Jean Paul Gaultier 2023,Acqua di Giò Parfum Giorgio Armani 2023,0.138,0.672,0.629,0.939
1279,Le Mâle Elixir Jean Paul Gaultier 2023,Althaïr Parfums de Marly 2023,0.957,0.995,0.988,0.964
1280,Le Mâle Elixir Jean Paul Gaultier 2023,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.671,0.953,0.989,0.741
1281,Le Mâle Elixir Jean Paul Gaultier 2023,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.467,0.743,0.694,0.994
1282,Le Mâle Elixir Jean Paul Gaultier 2023,Angels' Share Kilian 2020,0.89,0.995,0.983,0.864
1283,Le Mâle Elixir Jean Paul Gaultier 2023,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.1,0.605,0.511,0.985
1284,Le Mâle Elixir Jean Paul Gaultier 2023,Armani Code Absolu pour Homme Giorgio Armani 2019,0.9,0.994,0.999,0.991
1285,Le Mâle Elixir Jean Paul Gaultier 2023,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.699,0.937,0.98,0.978
1286,Le Mâle Elixir Jean Paul Gaultier 2023,Artisan Pure John Varvatos 2017,0.06,0.56,0.313,0.992
1287,Le Mâle Elixir Jean Paul Gaultier 2023,Aventus Creed 2010,0.157,0.841,0.728,0.961
1288,Le Mâle Elixir Jean Paul Gaultier 2023,Awake Akro 2018,0.788,0.888,0.994,0.871
1289,Le Mâle Elixir Jean Paul Gaultier 2023,Bad Boy Cobalt Carolina Herrera 2022,0.474,0.783,0.74,0.986
1290,Le Mâle Elixir Jean Paul Gaultier 2023,Bentley for Men Absolute Bentley 2014,0.182,0.969,0.999,0.867
1291,Le Mâle Elixir Jean Paul Gaultier 2023,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.039,0.549,0.45,0.894
1292,Le Mâle Elixir Jean Paul Gaultier 2023,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.128,0.726,0.731,0.97
1293,Le Mâle Elixir Jean Paul Gaultier 2023,Bon Monsieur Rogue 2020,0.118,0.801,0.755,0.881
1294,Le Mâle Elixir Jean Paul Gaultier 2023,Boss Bottled Elixir Hugo Boss 2023,0.368,0.984,0.997,0.911
1295,Le Mâle Elixir Jean Paul Gaultier 2023,Boss Bottled Parfum Hugo Boss 2022,0.409,0.926,0.956,0.959
1296,Le Mâle Elixir Jean Paul Gaultier 2023,Chrome Azzaro 1996 EAU DE TOILETTE,0.177,0.529,0.471,0.976
1297,Le Mâle Elixir Jean Paul Gaultier 2023,Chrome Extrême Azzaro 2020,0.039,0.636,0.439,0.968
1298,Le Mâle Elixir Jean Paul Gaultier 2023,Cigar Rum Strangers Parfumerie 2017,0.371,0.972,0.987,0.9
1299,Le Mâle Elixir Jean Paul Gaultier 2023,Club Black Mercedes-Benz 2017,0.918,0.993,0.994,0.98
1300,Le Mâle Elixir Jean Paul Gaultier 2023,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.111,0.694,0.497,0.973
1301,Le Mâle Elixir Jean Paul Gaultier 2023,Dark Akro 2018,0.71,0.973,0.999,0.856
1302,Le Mâle Elixir Jean Paul Gaultier 2023,Dior Homme Cologne Dior 2013,0.0,0.516,0.341,0.993
1303,Le Mâle Elixir Jean Paul Gaultier 2023,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.413,0.715,0.671,0.993
1304,Le Mâle Elixir Jean Paul Gaultier 2023,Dior Homme Intense Dior 2011,0.754,0.987,1.0,0.951
1305,Le Mâle Elixir Jean Paul Gaultier 2023,Dior Homme Parfum Dior 2014,0.502,0.986,1.0,0.925
1306,Le Mâle Elixir Jean Paul Gaultier 2023,Eau Parfumée au Thé Blanc Bvlgari 2003,0.159,0.558,0.567,0.759
1307,Le Mâle Elixir Jean Paul Gaultier 2023,Eau Parfumée au Thé Vert Bvlgari 1992,0.114,0.457,0.44,0.752
1308,Le Mâle Elixir Jean Paul Gaultier 2023,Eau de Soleil Blanc Tom Ford 2017,0.51,0.719,0.378,0.802
1309,Le Mâle Elixir Jean Paul Gaultier 2023,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.846,0.994,0.984,0.986
1310,Le Mâle Elixir Jean Paul Gaultier 2023,Eros Versace 2020 EAU DE PARFUM,0.451,0.96,0.852,0.968
1311,Le Mâle Elixir Jean Paul Gaultier 2023,Explorer Montblanc 2019,0.116,0.681,0.71,0.972
1312,Le Mâle Elixir Jean Paul Gaultier 2023,First Instinct Together Man Abercrombie & Fitch 2020,0.318,0.478,0.58,0.993
1313,Le Mâle Elixir Jean Paul Gaultier 2023,Gentleman Givenchy Réserve Privée Givenchy 2022,0.82,0.993,0.996,0.913
1314,Le Mâle Elixir Jean Paul Gaultier 2023,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.101,0.693,0.729,0.917
1315,Le Mâle Elixir Jean Paul Gaultier 2023,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.411,0.797,0.78,0.989
1316,Le Mâle Elixir Jean Paul Gaultier 2023,Haltane Parfums de Marly 2021,0.468,0.989,0.996,0.891
1317,Le Mâle Elixir Jean Paul Gaultier 2023,Hero Burberry 2022 EAU DE PARFUM,0.59,0.891,0.981,0.988
1318,Le Mâle Elixir Jean Paul Gaultier 2023,Herod Parfums de Marly 2012,0.793,0.995,0.993,0.966
1319,Le Mâle Elixir Jean Paul Gaultier 2023,Hugo Iced Hugo Boss 2017,0.066,0.458,0.431,0.995
1320,Le Mâle Elixir Jean Paul Gaultier 2023,Invictus Platinum Paco Rabanne 2022,0.467,0.808,0.673,0.97
1321,Le Mâle Elixir Jean Paul Gaultier 2023,Invictus Victory Paco Rabanne 2021,0.697,0.985,0.979,0.976
1322,Le Mâle Elixir Jean Paul Gaultier 2023,Jimmy Choo Man Aqua Jimmy Choo 2022,0.067,0.496,0.415,0.975
1323,Le Mâle Elixir Jean Paul Gaultier 2023,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.104,0.63,0.508,0.985
1324,Le Mâle Elixir Jean Paul Gaultier 2023,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.647,0.986,0.961,0.987
1325,Le Mâle Elixir Jean Paul Gaultier 2023,Layton Parfums de Marly 2016,0.723,0.977,0.977,0.99
1326,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.755,0.952,0.954,0.992
1327,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.84,0.965,0.975,0.991
1328,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.884,0.986,0.982,0.989
1329,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.368,0.845,0.864,0.949
1330,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.637,0.975,0.87,0.943
1331,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.782,0.984,0.971,0.688
1332,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.755,0.894,0.906,0.987
1333,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Angels' Share Kilian 2020,0.679,0.934,0.857,0.825
1334,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.351,0.799,0.785,0.99
1335,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Armani Code Absolu pour Homme Giorgio Armani 2019,0.8,0.971,0.942,0.997
1336,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.866,0.983,0.983,0.983
1337,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Artisan Pure John Varvatos 2017,0.29,0.764,0.63,0.99
1338,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Aventus Creed 2010,0.416,0.954,0.925,0.973
1339,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Awake Akro 2018,0.512,0.961,0.964,0.834
1340,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bad Boy Cobalt Carolina Herrera 2022,0.683,0.92,0.929,0.992
1341,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bentley for Men Absolute Bentley 2014,0.36,0.984,0.932,0.871
1342,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.291,0.755,0.74,0.859
1343,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.43,0.883,0.927,0.982
1344,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bon Monsieur Rogue 2020,0.384,0.93,0.939,0.876
1345,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Boss Bottled Elixir Hugo Boss 2023,0.576,0.982,0.905,0.921
1346,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Boss Bottled Parfum Hugo Boss 2022,0.682,0.98,0.981,0.97
1347,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Chrome Azzaro 1996 EAU DE TOILETTE,0.451,0.739,0.757,0.989
1348,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Chrome Extrême Azzaro 2020,0.281,0.822,0.731,0.98
1349,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Cigar Rum Strangers Parfumerie 2017,0.501,0.975,0.969,0.875
1350,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Club Black Mercedes-Benz 2017,0.653,0.98,0.887,0.966
1351,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.373,0.864,0.775,0.96
1352,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dark Akro 2018,0.54,0.97,0.931,0.817
1353,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dior Homme Cologne Dior 2013,0.243,0.727,0.655,0.984
1354,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.735,0.87,0.892,0.991
1355,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dior Homme Intense Dior 2011,0.751,0.953,0.939,0.944
1356,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dior Homme Parfum Dior 2014,0.645,0.942,0.932,0.92
1357,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Eau Parfumée au Thé Blanc Bvlgari 2003,0.51,0.761,0.825,0.707
1358,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Eau Parfumée au Thé Vert Bvlgari 1992,0.399,0.679,0.733,0.699
1359,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Eau de Soleil Blanc Tom Ford 2017,0.486,0.877,0.68,0.754
1360,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.742,0.944,0.86,0.988
1361,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Eros Versace 2020 EAU DE PARFUM,0.67,0.998,0.983,0.981
1362,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Explorer Montblanc 2019,0.414,0.854,0.914,0.984
1363,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,First Instinct Together Man Abercrombie & Fitch 2020,0.542,0.683,0.833,0.986
1364,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Gentleman Givenchy Réserve Privée Givenchy 2022,0.745,0.96,0.899,0.923
1365,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.384,0.855,0.925,0.918
1366,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.742,0.916,0.951,0.986
1367,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Haltane Parfums de Marly 2021,0.707,0.974,0.954,0.894
1368,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Hero Burberry 2022 EAU DE PARFUM,0.736,0.967,0.949,0.994
1369,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Herod Parfums de Marly 2012,0.756,0.966,0.886,0.957
1370,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Hugo Iced Hugo Boss 2017,0.352,0.682,0.726,0.997
1371,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Invictus Platinum Paco Rabanne 2022,0.695,0.931,0.891,0.976
1372,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Invictus Victory Paco Rabanne 2021,0.798,0.988,0.979,0.989
1373,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Jimmy Choo Man Aqua Jimmy Choo 2022,0.292,0.7,0.714,0.988
1374,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.407,0.818,0.784,0.985
1375,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.909,0.976,0.995,0.993
1376,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Layton Parfums de Marly 2016,0.791,0.991,0.986,0.994
1377,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Le Mâle Elixir Jean Paul Gaultier 2023,0.676,0.961,0.933,0.997
1378,Legend Montblanc 2011 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.626,0.663,0.783,0.958
1379,Legend Montblanc 2011 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.568,0.699,0.82,0.96
1380,Legend Montblanc 2011 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.683,0.782,0.939,0.988
1381,Legend Montblanc 2011 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.593,0.995,0.987,0.978
1382,Legend Montblanc 2011 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.303,0.737,0.626,0.908
1383,Legend Montblanc 2011 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.405,0.854,0.817,0.615
1384,Legend Montblanc 2011 EAU DE TOILETTE,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.807,0.995,0.997,0.969
1385,Legend Montblanc 2011 EAU DE TOILETTE,Angels' Share Kilian 2020,0.36,0.627,0.604,0.773
1386,Legend Montblanc 2011 EAU DE TOILETTE,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.664,0.983,0.949,0.997
1387,Legend Montblanc 2011 EAU DE TOILETTE,Armani Code Absolu pour Homme Giorgio Armani 2019,0.499,0.731,0.747,0.993
1388,Legend Montblanc 2011 EAU DE TOILETTE,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.695,0.871,0.849,0.994
1389,Legend Montblanc 2011 EAU DE TOILETTE,Artisan Pure John Varvatos 2017,0.662,0.974,0.852,0.984
