,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
2520,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Herod Parfums de Marly 2012,0.889,0.997,0.951,0.963
2521,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Invictus Platinum Paco Rabanne 2022,0.435,0.815,0.807,0.925
2522,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Invictus Victory Paco Rabanne 2021,0.658,0.987,0.999,0.973
2523,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Jimmy Choo Man Aqua Jimmy Choo 2022,0.216,0.524,0.581,0.976
2524,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.294,0.675,0.662,0.988
2525,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Layton Parfums de Marly 2016,0.915,0.988,1.0,0.993
2526,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Le Mâle Elixir Jean Paul Gaultier 2023,0.595,0.985,0.979,0.968
2527,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,0.799,0.968,0.983,0.979
2528,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Legend Montblanc 2011 EAU DE TOILETTE,0.532,0.736,0.852,0.999
2529,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Legend Montblanc 2020 EAU DE PARFUM,0.558,0.715,0.879,0.999
2530,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Les Royales Exclusives - Spice and Wood Creed 2010,0.624,0.902,0.936,0.946
2531,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Light Blue pour Homme Dolce & Gabbana 2007 EAU DE TOILETTE,0.25,0.436,0.478,0.978
2532,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Lost Cherry Tom Ford 2018 EAU DE PARFUM,0.552,0.989,0.996,0.636
2533,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Luna Rossa Ocean Prada 2023 EAU DE PARFUM,0.575,0.848,0.912,0.988
2534,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Millésime Impérial Creed 1994,0.286,0.758,0.684,0.959
2535,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Mousse Illuminée Rogue 2018,0.44,0.849,0.917,0.887
2536,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Musc Ravageur Editions de Parfums Frédéric Malle 2000,0.818,0.994,0.99,0.853
