,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
553,Haltane Parfums de Marly 2021,Eau Parfumée au Thé Blanc Bvlgari 2003,0.277,0.636,0.618,0.653
554,Haltane Parfums de Marly 2021,Eau Parfumée au Thé Vert Bvlgari 1992,0.297,0.535,0.495,0.644
555,Haltane Parfums de Marly 2021,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.744,0.986,0.969,0.95
556,Haltane Parfums de Marly 2021,Eros Versace 2020 EAU DE PARFUM,0.296,0.97,0.885,0.817
557,Haltane Parfums de Marly 2021,Explorer Montblanc 2019,0.351,0.751,0.76,0.939
558,Haltane Parfums de Marly 2021,First Instinct Together Man Abercrombie & Fitch 2020,0.149,0.512,0.633,0.842
559,Haltane Parfums de Marly 2021,Gentleman Givenchy Réserve Privée Givenchy 2022,0.745,0.997,0.988,0.992
560,Haltane Parfums de Marly 2021,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.474,0.771,0.777,0.997
561,Hero Burberry 2022 EAU DE PARFUM,1 Million Elixir Paco Rabanne 2022,0.721,0.875,0.992,0.973
562,Hero Burberry 2022 EAU DE PARFUM,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.748,0.895,0.979,0.973
563,Hero Burberry 2022 EAU DE PARFUM,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.717,0.945,0.943,0.994
564,Hero Burberry 2022 EAU DE PARFUM,Acqua di Giò Parfum Giorgio Armani 2023,0.224,0.909,0.701,0.965
565,Hero Burberry 2022 EAU DE PARFUM,Althaïr Parfums de Marly 2023,0.655,0.922,0.956,0.936
566,Hero Burberry 2022 EAU DE PARFUM,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.639,0.982,0.988,0.677
567,Hero Burberry 2022 EAU DE PARFUM,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.668,0.949,0.757,0.986
568,Hero Burberry 2022 EAU DE PARFUM,Angels' Share Kilian 2020,0.688,0.852,0.945,0.819
569,Hero Burberry 2022 EAU DE PARFUM,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.304,0.856,0.576,0.999
570,Hero Burberry 2022 EAU DE PARFUM,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.872,0.98,0.986,0.996
571,Hero Burberry 2022 EAU DE PARFUM,Aventus Creed 2010,0.411,0.97,0.784,0.987
572,Hero Burberry 2022 EAU DE PARFUM,Awake Akro 2018,0.579,0.994,0.99,0.829
573,Hero Burberry 2022 EAU DE PARFUM,Bad Boy Cobalt Carolina Herrera 2022,0.739,0.937,0.807,0.975
574,Hero Burberry 2022 EAU DE PARFUM,Bentley for Men Absolute Bentley 2014,0.558,0.97,0.985,0.911
575,Hero Burberry 2022 EAU DE PARFUM,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.248,0.836,0.515,0.852
576,Hero Burberry 2022 EAU DE PARFUM,Bon Monsieur Rogue 2020,0.379,0.968,0.817,0.901
577,Hero Burberry 2022 EAU DE PARFUM,Boss Bottled Elixir Hugo Boss 2023,0.69,0.95,0.976,0.948
578,Hero Burberry 2022 EAU DE PARFUM,Boss Bottled Parfum Hugo Boss 2022,0.785,0.989,0.986,0.987
579,Hero Burberry 2022 EAU DE PARFUM,Chrome Azzaro 1996 EAU DE TOILETTE,0.411,0.8,0.535,0.996
580,Hero Burberry 2022 EAU DE PARFUM,Cigar Rum Strangers Parfumerie 2017,0.716,0.952,0.995,0.89
581,Hero Burberry 2022 EAU DE PARFUM,Club Black Mercedes-Benz 2017,0.742,0.929,0.967,0.965
582,Hero Burberry 2022 EAU DE PARFUM,Dark Akro 2018,0.7,0.942,0.987,0.813
583,Hero Burberry 2022 EAU DE PARFUM,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.542,0.945,0.739,0.992
584,Hero Burberry 2022 EAU DE PARFUM,Dior Homme Intense Dior 2011,0.644,0.889,0.984,0.962
585,Hero Burberry 2022 EAU DE PARFUM,Dior Homme Parfum Dior 2014,0.558,0.875,0.979,0.944
586,Hero Burberry 2022 EAU DE PARFUM,Eau Parfumée au Thé Blanc Bvlgari 2003,0.254,0.848,0.628,0.679
587,Hero Burberry 2022 EAU DE PARFUM,Eau Parfumée au Thé Vert Bvlgari 1992,0.221,0.786,0.503,0.673
588,Hero Burberry 2022 EAU DE PARFUM,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.755,0.867,0.947,0.994
589,Hero Burberry 2022 EAU DE PARFUM,Eros Versace 2020 EAU DE PARFUM,0.554,0.953,0.888,0.966
590,Hero Burberry 2022 EAU DE PARFUM,Explorer Montblanc 2019,0.425,0.911,0.777,0.992
591,Hero Burberry 2022 EAU DE PARFUM,First Instinct Together Man Abercrombie & Fitch 2020,0.441,0.702,0.65,0.965
592,Hero Burberry 2022 EAU DE PARFUM,Gentleman Givenchy Réserve Privée Givenchy 2022,0.724,0.901,0.975,0.953
593,Hero Burberry 2022 EAU DE PARFUM,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.423,0.93,0.792,0.946
594,Hero Burberry 2022 EAU DE PARFUM,Haltane Parfums de Marly 2021,0.764,0.93,0.993,0.93
595,Herod Parfums de Marly 2012,1 Million Elixir Paco Rabanne 2022,0.762,0.994,0.979,0.923
596,Herod Parfums de Marly 2012,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.883,0.997,0.965,0.914
597,Herod Parfums de Marly 2012,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.77,0.992,0.848,0.95
598,Herod Parfums de Marly 2012,Acqua di Giò Parfum Giorgio Armani 2023,0.195,0.704,0.539,0.958
599,Herod Parfums de Marly 2012,Althaïr Parfums de Marly 2023,0.845,0.999,0.999,0.976
600,Herod Parfums de Marly 2012,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.688,0.965,0.966,0.802
601,Herod Parfums de Marly 2012,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.544,0.769,0.609,0.988
602,Herod Parfums de Marly 2012,Angels' Share Kilian 2020,0.911,0.992,0.997,0.913
603,Herod Parfums de Marly 2012,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.168,0.629,0.41,0.976
604,Herod Parfums de Marly 2012,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.787,0.957,0.952,0.982
605,Herod Parfums de Marly 2012,Aventus Creed 2010,0.444,0.865,0.647,0.964
606,Herod Parfums de Marly 2012,Awake Akro 2018,0.796,0.895,0.976,0.922
607,Herod Parfums de Marly 2012,Bad Boy Cobalt Carolina Herrera 2022,0.548,0.793,0.661,0.915
608,Herod Parfums de Marly 2012,Bentley for Men Absolute Bentley 2014,0.605,0.98,0.994,0.955
609,Herod Parfums de Marly 2012,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.153,0.577,0.345,0.928
610,Herod Parfums de Marly 2012,Bon Monsieur Rogue 2020,0.291,0.824,0.678,0.96
611,Herod Parfums de Marly 2012,Boss Bottled Elixir Hugo Boss 2023,0.766,0.989,0.998,0.958
612,Herod Parfums de Marly 2012,Boss Bottled Parfum Hugo Boss 2022,0.693,0.943,0.922,0.966
613,Herod Parfums de Marly 2012,Chrome Azzaro 1996 EAU DE TOILETTE,0.215,0.551,0.368,0.946
614,Herod Parfums de Marly 2012,Cigar Rum Strangers Parfumerie 2017,0.74,0.977,0.966,0.968
615,Herod Parfums de Marly 2012,Club Black Mercedes-Benz 2017,0.88,0.998,1.0,0.99
616,Herod Parfums de Marly 2012,Dark Akro 2018,0.837,0.964,0.993,0.912
617,Herod Parfums de Marly 2012,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.398,0.745,0.584,0.987
618,Herod Parfums de Marly 2012,Dior Homme Intense Dior 2011,0.683,0.997,0.991,0.998
619,Herod Parfums de Marly 2012,Dior Homme Parfum Dior 2014,0.581,0.995,0.994,0.988
620,Herod Parfums de Marly 2012,Eau Parfumée au Thé Blanc Bvlgari 2003,0.217,0.588,0.469,0.787
621,Herod Parfums de Marly 2012,Eau Parfumée au Thé Vert Bvlgari 1992,0.173,0.485,0.335,0.784
622,Herod Parfums de Marly 2012,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.9,0.995,0.997,0.983
623,Herod Parfums de Marly 2012,Eros Versace 2020 EAU DE PARFUM,0.458,0.962,0.787,0.885
624,Herod Parfums de Marly 2012,Explorer Montblanc 2019,0.316,0.711,0.628,0.957
625,Herod Parfums de Marly 2012,First Instinct Together Man Abercrombie & Fitch 2020,0.286,0.48,0.483,0.939
626,Herod Parfums de Marly 2012,Gentleman Givenchy Réserve Privée Givenchy 2022,0.805,1.0,0.999,0.963
627,Herod Parfums de Marly 2012,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.278,0.728,0.649,0.981
628,Herod Parfums de Marly 2012,Haltane Parfums de Marly 2021,0.788,0.997,0.983,0.967
629,Herod Parfums de Marly 2012,Hero Burberry 2022 EAU DE PARFUM,0.696,0.907,0.966,0.971
630,Invictus Platinum Paco Rabanne 2022,1 Million Elixir Paco Rabanne 2022,0.679,0.791,0.73,0.991
631,Invictus Platinum Paco Rabanne 2022,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.628,0.81,0.77,0.994
632,Invictus Platinum Paco Rabanne 2022,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.816,0.861,0.911,0.967
633,Invictus Platinum Paco Rabanne 2022,Acqua di Giò Parfum Giorgio Armani 2023,0.535,0.937,0.995,0.864
634,Invictus Platinum Paco Rabanne 2022,Althaïr Parfums de Marly 2023,0.371,0.832,0.56,0.882
635,Invictus Platinum Paco Rabanne 2022,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.375,0.896,0.768,0.623
636,Invictus Platinum Paco Rabanne 2022,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.702,0.949,0.997,0.941
637,Invictus Platinum Paco Rabanne 2022,Angels' Share Kilian 2020,0.385,0.756,0.536,0.752
638,Invictus Platinum Paco Rabanne 2022,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.589,0.944,0.966,0.94
639,Invictus Platinum Paco Rabanne 2022,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.649,0.893,0.803,0.924
640,Invictus Platinum Paco Rabanne 2022,Aventus Creed 2010,0.586,0.959,0.992,0.907
641,Invictus Platinum Paco Rabanne 2022,Awake Akro 2018,0.353,0.939,0.747,0.758
642,Invictus Platinum Paco Rabanne 2022,Bad Boy Cobalt Carolina Herrera 2022,0.841,0.995,0.995,0.988
643,Invictus Platinum Paco Rabanne 2022,Bentley for Men Absolute Bentley 2014,0.06,0.88,0.674,0.749
644,Invictus Platinum Paco Rabanne 2022,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.58,0.909,0.946,0.801
645,Invictus Platinum Paco Rabanne 2022,Bon Monsieur Rogue 2020,0.396,0.962,0.993,0.748
646,Invictus Platinum Paco Rabanne 2022,Boss Bottled Elixir Hugo Boss 2023,0.207,0.863,0.623,0.818
647,Invictus Platinum Paco Rabanne 2022,Boss Bottled Parfum Hugo Boss 2022,0.619,0.908,0.841,0.903
648,Invictus Platinum Paco Rabanne 2022,Chrome Azzaro 1996 EAU DE TOILETTE,0.671,0.917,0.953,0.958
649,Invictus Platinum Paco Rabanne 2022,Cigar Rum Strangers Parfumerie 2017,0.338,0.863,0.772,0.79
650,Invictus Platinum Paco Rabanne 2022,Club Black Mercedes-Benz 2017,0.449,0.842,0.59,0.911
651,Invictus Platinum Paco Rabanne 2022,Dark Akro 2018,0.301,0.879,0.676,0.74
652,Invictus Platinum Paco Rabanne 2022,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.605,0.929,0.998,0.939
653,Invictus Platinum Paco Rabanne 2022,Dior Homme Intense Dior 2011,0.331,0.783,0.687,0.855
654,Invictus Platinum Paco Rabanne 2022,Dior Homme Parfum Dior 2014,0.233,0.766,0.669,0.815
655,Invictus Platinum Paco Rabanne 2022,Eau Parfumée au Thé Blanc Bvlgari 2003,0.563,0.9,0.979,0.65
656,Invictus Platinum Paco Rabanne 2022,Eau Parfumée au Thé Vert Bvlgari 1992,0.551,0.865,0.941,0.648
657,Invictus Platinum Paco Rabanne 2022,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.461,0.77,0.541,0.93
658,Invictus Platinum Paco Rabanne 2022,Eros Versace 2020 EAU DE PARFUM,0.919,0.932,0.958,0.985
659,Invictus Platinum Paco Rabanne 2022,Explorer Montblanc 2019,0.656,0.945,0.998,0.932
660,Invictus Platinum Paco Rabanne 2022,First Instinct Together Man Abercrombie & Fitch 2020,0.835,0.893,0.986,0.971
661,Invictus Platinum Paco Rabanne 2022,Gentleman Givenchy Réserve Privée Givenchy 2022,0.342,0.8,0.613,0.824
662,Invictus Platinum Paco Rabanne 2022,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.527,0.915,0.996,0.811
663,Invictus Platinum Paco Rabanne 2022,Haltane Parfums de Marly 2021,0.313,0.832,0.726,0.78
664,Invictus Platinum Paco Rabanne 2022,Hero Burberry 2022 EAU DE PARFUM,0.6,0.931,0.749,0.955
665,Invictus Platinum Paco Rabanne 2022,Herod Parfums de Marly 2012,0.42,0.811,0.587,0.88
666,Invictus Victory Paco Rabanne 2021,1 Million Elixir Paco Rabanne 2022,0.709,0.979,0.992,0.985
667,Invictus Victory Paco Rabanne 2021,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.795,0.986,0.992,0.99
668,Invictus Victory Paco Rabanne 2021,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.845,0.997,0.964,0.984
669,Invictus Victory Paco Rabanne 2021,Acqua di Giò Parfum Giorgio Armani 2023,0.506,0.777,0.762,0.934
670,Invictus Victory Paco Rabanne 2021,Althaïr Parfums de Marly 2023,0.615,0.994,0.943,0.885
671,Invictus Victory Paco Rabanne 2021,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.616,0.988,0.995,0.578
672,Invictus Victory Paco Rabanne 2021,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.667,0.837,0.814,0.953
673,Invictus Victory Paco Rabanne 2021,Angels' Share Kilian 2020,0.678,0.968,0.931,0.734
674,Invictus Victory Paco Rabanne 2021,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.447,0.713,0.652,0.976
675,Invictus Victory Paco Rabanne 2021,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.822,0.978,0.998,0.964
676,Invictus Victory Paco Rabanne 2021,Aventus Creed 2010,0.495,0.91,0.84,0.963
677,Invictus Victory Paco Rabanne 2021,Awake Akro 2018,0.665,0.95,0.995,0.744
678,Invictus Victory Paco Rabanne 2021,Bad Boy Cobalt Carolina Herrera 2022,0.734,0.859,0.854,0.994
679,Invictus Victory Paco Rabanne 2021,Bentley for Men Absolute Bentley 2014,0.321,0.995,0.981,0.831
680,Invictus Victory Paco Rabanne 2021,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.395,0.668,0.596,0.776
681,Invictus Victory Paco Rabanne 2021,Bon Monsieur Rogue 2020,0.36,0.883,0.865,0.824
682,Invictus Victory Paco Rabanne 2021,Boss Bottled Elixir Hugo Boss 2023,0.472,0.996,0.966,0.898
683,Invictus Victory Paco Rabanne 2021,Boss Bottled Parfum Hugo Boss 2022,0.692,0.972,0.994,0.96
684,Invictus Victory Paco Rabanne 2021,Chrome Azzaro 1996 EAU DE TOILETTE,0.567,0.642,0.615,0.991
685,Invictus Victory Paco Rabanne 2021,Cigar Rum Strangers Parfumerie 2017,0.508,0.987,0.998,0.798
686,Invictus Victory Paco Rabanne 2021,Club Black Mercedes-Benz 2017,0.681,0.996,0.955,0.918
687,Invictus Victory Paco Rabanne 2021,Dark Akro 2018,0.632,0.985,0.982,0.724
688,Invictus Victory Paco Rabanne 2021,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.565,0.818,0.796,0.963
689,Invictus Victory Paco Rabanne 2021,Dior Homme Intense Dior 2011,0.495,0.977,0.983,0.897
690,Invictus Victory Paco Rabanne 2021,Dior Homme Parfum Dior 2014,0.381,0.971,0.978,0.873
691,Invictus Victory Paco Rabanne 2021,Eau Parfumée au Thé Blanc Bvlgari 2003,0.458,0.678,0.701,0.605
692,Invictus Victory Paco Rabanne 2021,Eau Parfumée au Thé Vert Bvlgari 1992,0.403,0.59,0.586,0.594
693,Invictus Victory Paco Rabanne 2021,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.726,0.974,0.933,0.967
694,Invictus Victory Paco Rabanne 2021,Eros Versace 2020 EAU DE PARFUM,0.802,0.981,0.931,0.997
695,Invictus Victory Paco Rabanne 2021,Explorer Montblanc 2019,0.545,0.784,0.83,0.979
696,Invictus Victory Paco Rabanne 2021,First Instinct Together Man Abercrombie & Fitch 2020,0.635,0.57,0.716,0.964
697,Invictus Victory Paco Rabanne 2021,Gentleman Givenchy Réserve Privée Givenchy 2022,0.591,0.985,0.963,0.901
698,Invictus Victory Paco Rabanne 2021,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.424,0.798,0.844,0.877
699,Invictus Victory Paco Rabanne 2021,Haltane Parfums de Marly 2021,0.522,0.993,0.993,0.856
700,Invictus Victory Paco Rabanne 2021,Hero Burberry 2022 EAU DE PARFUM,0.702,0.955,0.993,0.982
701,Invictus Victory Paco Rabanne 2021,Herod Parfums de Marly 2012,0.713,0.989,0.954,0.912
702,Invictus Victory Paco Rabanne 2021,Invictus Platinum Paco Rabanne 2022,0.818,0.873,0.801,0.982
703,Jimmy Choo Man Aqua Jimmy Choo 2022,1 Million Elixir Paco Rabanne 2022,0.084,0.467,0.477,0.981
704,Jimmy Choo Man Aqua Jimmy Choo 2022,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.134,0.503,0.547,0.986
705,Jimmy Choo Man Aqua Jimmy Choo 2022,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.342,0.597,0.726,0.992
706,Jimmy Choo Man Aqua Jimmy Choo 2022,Acqua di Giò Parfum Giorgio Armani 2023,0.865,0.929,0.966,0.93
707,Jimmy Choo Man Aqua Jimmy Choo 2022,Althaïr Parfums de Marly 2023,0.114,0.534,0.285,0.883
708,Jimmy Choo Man Aqua Jimmy Choo 2022,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.237,0.676,0.53,0.583
709,Jimmy Choo Man Aqua Jimmy Choo 2022,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.564,0.904,0.94,0.955
710,Jimmy Choo Man Aqua Jimmy Choo 2022,Angels' Share Kilian 2020,0.151,0.428,0.262,0.736
711,Jimmy Choo Man Aqua Jimmy Choo 2022,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.851,0.966,0.992,0.978
712,Jimmy Choo Man Aqua Jimmy Choo 2022,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.421,0.679,0.577,0.968
713,Jimmy Choo Man Aqua Jimmy Choo 2022,Aventus Creed 2010,0.593,0.847,0.926,0.964
714,Jimmy Choo Man Aqua Jimmy Choo 2022,Awake Akro 2018,0.32,0.761,0.506,0.746
715,Jimmy Choo Man Aqua Jimmy Choo 2022,Bad Boy Cobalt Carolina Herrera 2022,0.439,0.917,0.911,0.988
716,Jimmy Choo Man Aqua Jimmy Choo 2022,Bentley for Men Absolute Bentley 2014,0.278,0.63,0.416,0.84
717,Jimmy Choo Man Aqua Jimmy Choo 2022,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.724,0.97,0.995,0.781
718,Jimmy Choo Man Aqua Jimmy Choo 2022,Bon Monsieur Rogue 2020,0.514,0.883,0.904,0.823
719,Jimmy Choo Man Aqua Jimmy Choo 2022,Boss Bottled Elixir Hugo Boss 2023,0.252,0.605,0.349,0.899
720,Jimmy Choo Man Aqua Jimmy Choo 2022,Boss Bottled Parfum Hugo Boss 2022,0.403,0.72,0.618,0.962
721,Jimmy Choo Man Aqua Jimmy Choo 2022,Chrome Azzaro 1996 EAU DE TOILETTE,0.868,0.979,0.993,0.994
722,Jimmy Choo Man Aqua Jimmy Choo 2022,Cigar Rum Strangers Parfumerie 2017,0.211,0.632,0.531,0.809
723,Jimmy Choo Man Aqua Jimmy Choo 2022,Club Black Mercedes-Benz 2017,0.113,0.55,0.314,0.92
724,Jimmy Choo Man Aqua Jimmy Choo 2022,Dark Akro 2018,0.263,0.609,0.417,0.727
725,Jimmy Choo Man Aqua Jimmy Choo 2022,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.481,0.892,0.95,0.963
726,Jimmy Choo Man Aqua Jimmy Choo 2022,Dior Homme Intense Dior 2011,0.127,0.482,0.433,0.902
727,Jimmy Choo Man Aqua Jimmy Choo 2022,Dior Homme Parfum Dior 2014,0.141,0.466,0.414,0.877
728,Jimmy Choo Man Aqua Jimmy Choo 2022,Eau Parfumée au Thé Blanc Bvlgari 2003,0.61,0.961,0.982,0.597
729,Jimmy Choo Man Aqua Jimmy Choo 2022,Eau Parfumée au Thé Vert Bvlgari 1992,0.568,0.956,0.994,0.591
730,Jimmy Choo Man Aqua Jimmy Choo 2022,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.146,0.44,0.267,0.967
731,Jimmy Choo Man Aqua Jimmy Choo 2022,Eros Versace 2020 EAU DE PARFUM,0.518,0.71,0.829,0.991
732,Jimmy Choo Man Aqua Jimmy Choo 2022,Explorer Montblanc 2019,0.663,0.931,0.931,0.979
733,Jimmy Choo Man Aqua Jimmy Choo 2022,First Instinct Together Man Abercrombie & Fitch 2020,0.597,0.97,0.971,0.957
734,Jimmy Choo Man Aqua Jimmy Choo 2022,Gentleman Givenchy Réserve Privée Givenchy 2022,0.178,0.497,0.338,0.905
735,Jimmy Choo Man Aqua Jimmy Choo 2022,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.704,0.892,0.922,0.883
736,Jimmy Choo Man Aqua Jimmy Choo 2022,Haltane Parfums de Marly 2021,0.234,0.553,0.477,0.864
737,Jimmy Choo Man Aqua Jimmy Choo 2022,Hero Burberry 2022 EAU DE PARFUM,0.283,0.753,0.495,0.986
738,Jimmy Choo Man Aqua Jimmy Choo 2022,Herod Parfums de Marly 2012,0.167,0.51,0.312,0.917
739,Jimmy Choo Man Aqua Jimmy Choo 2022,Invictus Platinum Paco Rabanne 2022,0.401,0.889,0.943,0.981
740,Jimmy Choo Man Aqua Jimmy Choo 2022,Invictus Victory Paco Rabanne 2021,0.389,0.599,0.572,0.998
741,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.26,0.606,0.565,0.958
742,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.24,0.642,0.631,0.954
743,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.467,0.727,0.79,0.979
744,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.853,0.99,0.984,0.975
745,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.143,0.678,0.381,0.962
746,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.326,0.801,0.616,0.734
747,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.731,0.976,0.969,0.994
748,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Angels' Share Kilian 2020,0.19,0.569,0.358,0.865
749,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.871,0.998,1.0,0.997
750,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.524,0.816,0.659,0.997
751,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Aventus Creed 2010,0.742,0.939,0.959,0.987
752,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Awake Akro 2018,0.36,0.868,0.592,0.875
753,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Bad Boy Cobalt Carolina Herrera 2022,0.558,0.972,0.945,0.957
754,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Bentley for Men Absolute Bentley 2014,0.271,0.764,0.506,0.939
755,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.899,0.993,0.997,0.889
756,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Bon Monsieur Rogue 2020,0.68,0.961,0.941,0.94
757,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Boss Bottled Elixir Hugo Boss 2023,0.254,0.73,0.444,0.964
758,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Boss Bottled Parfum Hugo Boss 2022,0.553,0.84,0.692,0.987
759,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Chrome Azzaro 1996 EAU DE TOILETTE,0.894,0.989,0.998,0.98
760,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Cigar Rum Strangers Parfumerie 2017,0.318,0.744,0.614,0.927
761,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Club Black Mercedes-Benz 2017,0.164,0.693,0.41,0.982
762,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Dark Akro 2018,0.226,0.723,0.507,0.862
763,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.649,0.97,0.975,0.998
764,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Dior Homme Intense Dior 2011,0.194,0.632,0.523,0.986
765,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Dior Homme Parfum Dior 2014,0.213,0.611,0.506,0.973
766,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Eau Parfumée au Thé Blanc Bvlgari 2003,0.83,0.99,0.997,0.734
767,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Eau Parfumée au Thé Vert Bvlgari 1992,0.816,0.971,0.995,0.726
768,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.2,0.59,0.364,0.998
769,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Eros Versace 2020 EAU DE PARFUM,0.663,0.815,0.883,0.938
770,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Explorer Montblanc 2019,0.841,0.992,0.961,0.986
771,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,First Instinct Together Man Abercrombie & Fitch 2020,0.698,0.937,0.989,0.962
772,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Gentleman Givenchy Réserve Privée Givenchy 2022,0.224,0.643,0.432,0.967
773,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.818,0.97,0.954,0.971
