link,upvotes,downvotes,inverse_rank,order,name
https://www.fragrantica.com/perfume/Faberge/Brut-38206.html,141.0,135.0,3545.0,2200.0,Brut Faberge (male) ~ 1968
https://www.fragrantica.com/perfume/Bvlgari/BLV-Notte-Pour-Homme-150.html,36.0,44.0,961.0,748.0,BLV Notte Pour Homme Bvlgari (male) ~ 2004
https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-di-Capri-1685.html,16.0,13.0,552.0,289.0,Acqua di Parma Blu Mediterraneo Arancia di Capri Acqua di Parma (unisex) ~ 1999
https://www.fragrantica.com/perfume/Montblanc/Legend-Intense-18861.html,39.0,35.0,1322.0,896.0,Legend Intense Montblanc (male) ~ 2013
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html,106.0,66.0,2253.0,1541.0,Oud Satin Mood Maison Francis Kurkdjian (unisex) ~ 2015
https://www.fragrantica.com/perfume/John-Varvatos/Dark-Rebel-31760.html,219.0,146.0,4361.0,2041.0,Dark Rebel John Varvatos (male) ~ 2015
https://www.fragrantica.com/perfume/Kenzo/Power-3602.html,59.0,80.0,2403.0,3279.0,Power Kenzo (male) ~ 2008
https://www.fragrantica.com/perfume/Amouage/Sunshine-Man-31619.html,49.0,61.0,1568.0,1113.0,Sunshine Man Amouage (male) ~ 2015
https://www.fragrantica.com/perfume/Ralph-Lauren/Polo-Sport-894.html,81.0,81.0,2302.0,1455.0,Polo Sport Ralph Lauren (male) ~ 1994
https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-1682.html,54.0,52.0,1757.0,1072.0,Acqua di Parma Colonia Assoluta Acqua di Parma (unisex) ~ 2003
https://www.fragrantica.com/perfume/Krizia/Krizia-Uomo-6381.html,22.0,24.0,1499.0,2506.0,Krizia Uomo Krizia (male) ~ 1984
https://www.fragrantica.com/perfume/Carolina-Herrera/Chic-For-Men-293.html,51.0,68.0,1159.0,1570.0,Chic For Men Carolina Herrera (male) ~ 2003
https://www.fragrantica.com/perfume/Prada/Prada-Amber-Pour-Homme-Intense-11240.html,266.0,241.0,4642.0,1760.0,Prada Amber Pour Homme Intense Prada (male) ~ 2011
https://www.fragrantica.com/perfume/Creed/Spice-and-Wood-10101.html,92.0,108.0,2525.0,1889.0,Spice and Wood Creed (unisex) ~ 2010
https://www.fragrantica.com/perfume/Chanel/Pour-Monsieur-Concentree-3131.html,10.0,2.0,540.0,301.0,Pour Monsieur Concentree Chanel (male) ~ 1989
https://www.fragrantica.com/perfume/Xerjoff/Nio-10244.html,173.0,150.0,3743.0,1639.0,Nio Xerjoff (male) ~ 2009
https://www.fragrantica.com/perfume/Gianfranco-Ferre/Gianfranco-Ferre-for-Man-161.html,34.0,34.0,1021.0,688.0,Gianfranco Ferre for Man Gianfranco Ferre (male) ~ 1986
https://www.fragrantica.com/perfume/Montale/Aoud-Leather-9224.html,30.0,49.0,912.0,1825.0,Aoud Leather Montale (unisex) ~ 2009
https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Jazz-Club-20541.html,702.0,438.0,5295.0,1107.0,Jazz Club Maison Martin Margiela (male) ~ 2013
https://www.fragrantica.com/perfume/Fendi/Fendi-Uomo-2876.html,64.0,62.0,2675.0,2050.0,Fendi Uomo Fendi (male) ~ 1988
https://www.fragrantica.com/perfume/Lacoste-Fragrances/Essential-787.html,28.0,32.0,1307.0,1374.0,Essential Lacoste Fragrances (male) ~ 2005
https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Oud-Intense-46482.html,56.0,51.0,1768.0,1318.0,Tobacco Oud Intense Tom Ford (unisex) ~ 2017
https://www.fragrantica.com/perfume/Dior/Jules-2016-40736.html,47.0,55.0,1516.0,1369.0,Jules (2016) Dior (male) ~ 2016
https://www.fragrantica.com/perfume/Givenchy/Gentlemen-Only-Intense-23519.html,39.0,54.0,1390.0,2059.0,Gentlemen Only Intense Givenchy (male) ~ 2014
https://www.fragrantica.com/perfume/Bvlgari/Eau-Parfumee-au-The-Blanc-145.html,25.0,46.0,780.0,2357.0,Eau Parfumee au The Blanc Bvlgari (unisex) ~ 2003
https://www.fragrantica.com/perfume/Cerruti/Nino-Cerruti-Pour-Homme-10496.html,36.0,45.0,1571.0,1566.0,Nino Cerruti Pour Homme Cerruti (male) ~ 1979
https://www.fragrantica.com/perfume/Calvin-Klein/Escape-for-Men-272.html,63.0,68.0,1725.0,1104.0,Escape for Men Calvin Klein (male) ~ 1993
https://www.fragrantica.com/perfume/Roja-Dove/Enigma-Pour-Homme-20559.html,276.0,222.0,4730.0,1672.0,Enigma Pour Homme Roja Dove (male) ~ 2013
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Collection-Pour-Homme-13736.html,14.0,12.0,526.0,315.0,La Collection Pour Homme Yves Saint Laurent (male) ~ 2011
https://www.fragrantica.com/perfume/Montana/Montana-Parfum-d-Homme-2384.html,37.0,42.0,1719.0,1919.0,Montana Parfum d'Homme Montana (male) ~ 1989
https://www.fragrantica.com/perfume/Ralph-Lauren/Polo-Blue-1198.html,171.0,166.0,4037.0,2365.0,Polo Blue Ralph Lauren (male) ~ 2003
https://www.fragrantica.com/perfume/Dior/Fahrenheit-Absolute-6555.html,224.0,205.0,3969.0,1776.0,Fahrenheit Absolute Dior (male) ~ 2009
https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2007-1771.html,406.0,248.0,3806.0,763.0,Dior Homme Intense 2007 Dior (male) ~ 2007
https://www.fragrantica.com/perfume/John-Varvatos/Vintage-2356.html,251.0,200.0,4565.0,1837.0,Vintage John Varvatos (male) ~ 2006
https://www.fragrantica.com/perfume/James-Heeley/Sel-Marin-7852.html,32.0,48.0,1160.0,1577.0,Sel Marin James Heeley (unisex)
https://www.fragrantica.com/perfume/By-Kilian/Straight-to-Heaven-4323.html,105.0,107.0,3153.0,2229.0,Straight to Heaven By Kilian (male) ~ 2007
