name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Vanilla Diorama Dior (unisex) ~ 2021,https://www.fragrantica.com/perfume/Dior/Vanilla-Diorama-68198.html,165,81,2021,28,246,84,0.33604336043360433,0.6707317073170732,28.0,463.0,0.6433823529411765
Poison Girl Dior (female) ~ 2016,https://www.fragrantica.com/perfume/Dior/Poison-Girl-35561.html,187,127,2016,29,314,60,0.2710027100271003,0.5955414012738853,29.0,462.0,0.5794117647058824
Kenzo Amour Kenzo (female) ~ 2006,https://www.fragrantica.com/perfume/Kenzo/Kenzo-Amour-664.html,147,83,2006,30,230,64,0.28184281842818426,0.6391304347826087,30.0,461.0,0.61328125
Armani Code Absolu Giorgio Armani (male) ~ 2019,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-53106.html,144,87,2019,31,231,57,0.26287262872628725,0.6233766233766234,31.0,460.0,0.5992217898832685
Mercedes Benz Club Black Mercedes-Benz (male) ~ 2017,https://www.fragrantica.com/perfume/Mercedes-Benz/Mercedes-Benz-Club-Black-46797.html,138,75,2017,32,213,63,0.2791327913279133,0.647887323943662,32.0,459.0,0.6192468619246861
Cinéma Yves Saint Laurent (female) ~ 2004,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Cinema-92.html,133,68,2004,33,201,65,0.2845528455284553,0.6616915422885572,33.0,458.0,0.6299559471365639
Lune Feline Atelier des Ors (unisex) ~ 2015,https://www.fragrantica.com/perfume/Atelier-des-Ors/Lune-Feline-29716.html,121,48,2015,34,169,73,0.3062330623306233,0.7159763313609467,34.0,457.0,0.6717948717948717
Layton Parfums de Marly (unisex) ~ 2016,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,136,81,2016,35,217,55,0.25745257452574527,0.6267281105990783,35.0,456.0,0.6008230452674898
Black Opium Yves Saint Laurent (female) ~ 2014,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-25324.html,171,155,2014,36,326,16,0.15176151761517614,0.5245398773006135,36.0,455.0,0.5142045454545454
Cuir Béluga Guerlain (unisex) ~ 2005,https://www.fragrantica.com/perfume/Guerlain/Cuir-Beluga-1019.html,117,48,2005,37,165,69,0.2953929539295393,0.7090909090909091,37.0,454.0,0.6649214659685864
Oud Satin Mood Maison Francis Kurkdjian (unisex) ~ 2015,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html,115,50,2015,38,165,65,0.2845528455284553,0.696969696969697,38.0,453.0,0.6544502617801047
Noir Pour Femme Tom Ford (female) ~ 2015,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Pour-Femme-30957.html,112,52,2015,39,164,60,0.2710027100271003,0.6829268292682927,39.0,452.0,0.6421052631578947
Emporio Armani Stronger With You Intensely Giorgio Armani (male) ~ 2019,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html,134,101,2019,40,235,33,0.19783197831978322,0.5702127659574469,40.0,451.0,0.5517241379310345
Eau Duelle Eau de Parfum Diptyque (unisex) ~ 2013,https://www.fragrantica.com/perfume/Diptyque/Eau-Duelle-Eau-de-Parfum-49100.html,99,38,2013,41,137,61,0.2737127371273713,0.7226277372262774,41.0,450.0,0.6687116564417178
Gentle Fluidity Gold Maison Francis Kurkdjian (unisex) ~ 2019,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53401.html,109,60,2019,42,169,49,0.24119241192411925,0.6449704142011834,42.0,449.0,0.6102564102564103
Le Male Jean Paul Gaultier (male) ~ 1995,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-430.html,143,132,1995,43,275,11,0.13821138211382114,0.52,43.0,448.0,0.5083056478405316
Libre Intense Yves Saint Laurent (female) ~ 2020,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-Intense-62318.html,102,56,2020,44,158,46,0.23306233062330622,0.6455696202531646,44.0,447.0,0.6086956521739131
Casmir Chopard (female) ~ 1992,https://www.fragrantica.com/perfume/Chopard/Casmir-348.html,106,72,1992,45,178,34,0.2005420054200542,0.5955056179775281,45.0,446.0,0.5686274509803921
Love Don't Be Shy By Kilian (female) ~ 2007,https://www.fragrantica.com/perfume/By-Kilian/Love-Don-t-Be-Shy-4322.html,110,81,2007,46,191,29,0.1869918699186992,0.5759162303664922,46.0,445.0,0.5529953917050692
La Nuit Trésor à la Folie Lancôme (female) ~ 2018,https://www.fragrantica.com/perfume/Lancome/La-Nuit-Tresor-a-la-Folie-48019.html,105,71,2018,47,176,34,0.2005420054200542,0.5965909090909091,47.0,444.0,0.5693069306930693
L’Ambre des Merveilles Hermès (unisex) ~ 2012,https://www.fragrantica.com/perfume/Hermes/L-Ambre-des-Merveilles-15949.html,103,71,2012,48,174,32,0.1951219512195122,0.5919540229885057,48.0,443.0,0.565
Alien Essence Absolue Mugler (female) ~ 2012,https://www.fragrantica.com/perfume/Mugler/Alien-Essence-Absolue-15452.html,89,47,2012,49,136,42,0.2222222222222222,0.6544117647058824,49.0,442.0,0.6111111111111112
Manifesto Yves Saint Laurent (female) ~ 2012,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Manifesto-15540.html,91,51,2012,50,142,40,0.21680216802168023,0.6408450704225352,50.0,441.0,0.6011904761904762
Absolute Aphrodisiac Initio Parfums Prives (unisex) ~ 2015,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Absolute-Aphrodisiac-30989.html,87,46,2015,51,133,41,0.21951219512195122,0.6541353383458647,51.0,440.0,0.610062893081761
La Belle Le Parfum Jean Paul Gaultier (female) ~ 2021,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/La-Belle-Le-Parfum-65175.html,93,63,2021,52,156,30,0.1897018970189702,0.5961538461538461,52.0,439.0,0.5659340659340659
Vanille Insensée Atelier Cologne (unisex) ~ 2011,https://www.fragrantica.com/perfume/Atelier-Cologne/Vanille-Insensee-11456.html,96,74,2011,53,170,22,0.16802168021680217,0.5647058823529412,53.0,438.0,0.5408163265306123
Shalimar Parfum Guerlain (female) ~ 1925,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Parfum-33557.html,80,50,1925,54,130,30,0.1897018970189702,0.6153846153846154,54.0,437.0,0.5769230769230769
Angels' Share By Kilian (unisex) ~ 2020,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,75,42,2020,55,117,33,0.19783197831978322,0.6410256410256411,55.0,436.0,0.5944055944055944
I Don't Need A Prince By My Side To Be A Princess By Kilian (unisex) ~ 2018,https://www.fragrantica.com/perfume/By-Kilian/I-Don-t-Need-A-Prince-By-My-Side-To-Be-A-Princess-50497.html,89,72,2018,56,161,17,0.15447154471544716,0.5527950310559007,56.0,435.0,0.5294117647058824
Cologne of the Missions Le Couvent Maison de Parfum (unisex) ~ 2011,https://www.fragrantica.com/perfume/Le-Couvent-Maison-de-Parfum/Cologne-of-the-Missions-18811.html,76,49,2011,57,125,27,0.18157181571815717,0.608,57.0,434.0,0.5695364238410596
Fahrenheit Le Parfum Dior (male) ~ 2014,https://www.fragrantica.com/perfume/Dior/Fahrenheit-Le-Parfum-23099.html,107,112,2014,58,219,-5,0.0948509485094851,0.4885844748858447,58.0,433.0,0.4775510204081633
Olympéa Paco Rabanne (female) ~ 2015,https://www.fragrantica.com/perfume/Paco-Rabanne/Olympea-31666.html,86,71,2015,59,157,15,0.14905149051490515,0.5477707006369427,59.0,432.0,0.5245901639344263
Dama Bianca Xerjoff (female) ~ 2012,https://www.fragrantica.com/perfume/Xerjoff/Dama-Bianca-15555.html,71,43,2012,60,114,28,0.1842818428184282,0.6228070175438597,60.0,431.0,0.5785714285714286
Vanille Havane Les Indemodables (unisex) ~ 2020,https://www.fragrantica.com/perfume/Les-Indemodables/Vanille-Havane-63395.html,63,29,2020,61,92,34,0.2005420054200542,0.6847826086956522,61.0,430.0,0.6186440677966102
Shalimar Souffle Intense Guerlain (female) ~ 2017,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Souffle-Intense-46110.html,68,46,2017,62,114,22,0.16802168021680217,0.5964912280701754,62.0,429.0,0.5571428571428572
