link,upvotes,downvotes,inverse_rank,order,name,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
https://www.fragrantica.com/perfume/Perry-Ellis/3600-Red-for-Men-1906.html,32.0,61.0,907.0,1674.0,360° Red for Men Perry Ellis (male) ~ 2003,93.0,-29.0,0.01981981981981982,0.34408602150537637,2214.5,218.5,0.3418803418803419
https://www.fragrantica.com/perfume/Nikos/Nikos-926.html,6.0,21.0,42.0,799.0,Nikos Nikos (male) ~ 2004,27.0,-15.0,0.023423423423423424,0.2222222222222222,1013.0,1420.0,0.27450980392156865
https://www.fragrantica.com/perfume/Banana-Republic/Black-Walnut-764.html,4.0,17.0,41.0,800.0,Black Walnut Banana Republic (male) ~ 2006,21.0,-13.0,0.023938223938223938,0.19047619047619047,1017.0,1416.0,0.26666666666666666
https://www.fragrantica.com/perfume/Calvin-Klein/Crave-273.html,7.0,23.0,40.0,801.0,Crave Calvin Klein (male) ~ 2002,30.0,-16.0,0.023166023166023165,0.23333333333333334,1021.0,1412.0,0.2777777777777778
https://www.fragrantica.com/perfume/Bond-No-9/New-York-Amber-13631.html,6.0,21.0,39.0,802.0,New York Amber Bond No 9 (unisex) ~ 2011,27.0,-15.0,0.023423423423423424,0.2222222222222222,1024.0,1409.0,0.27450980392156865
https://www.fragrantica.com/perfume/Creed/Epicea-7502.html,2.0,13.0,38.0,803.0,Epicea Creed (male) ~ 1965,15.0,-11.0,0.02445302445302445,0.13333333333333333,1027.5,1405.5,0.2564102564102564
https://www.fragrantica.com/perfume/Tom-Ford/Vert-d-Encens-40087.html,10.0,28.0,269.0,1292.0,Vert d'Encens Tom Ford (unisex) ~ 2016,38.0,-18.0,0.02265122265122265,0.2631578947368421,1903.0,530.0,0.2903225806451613
https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-Absolutely-Gold-15951.html,8.0,25.0,36.0,805.0,1 Million Absolutely Gold Paco Rabanne (male) ~ 2012,33.0,-17.0,0.02290862290862291,0.24242424242424243,1035.0,1398.0,0.2807017543859649
https://www.fragrantica.com/perfume/Nobile-1942/Pontevecchio-9442.html,6.0,22.0,34.0,807.0,Pontevecchio Nobile 1942 (male) ~ 2005,28.0,-16.0,0.023166023166023165,0.21428571428571427,1043.5,1389.5,0.2692307692307692
https://www.fragrantica.com/perfume/Les-Liquides-Imaginaires/Fortis-23084.html,5.0,20.0,33.0,808.0,Fortis Les Liquides Imaginaires (unisex) ~ 2011,25.0,-15.0,0.023423423423423424,0.2,1047.5,1385.5,0.2653061224489796
https://www.fragrantica.com/perfume/Perry-Ellis/Perry-Ellis-for-Men-Original-1985-12509.html,5.0,20.0,32.0,809.0,Perry Ellis for Men Original (1985) Perry Ellis (male) ~ 1985,25.0,-15.0,0.023423423423423424,0.2,1051.5,1381.5,0.2653061224489796
https://www.fragrantica.com/perfume/Clive-Christian/No-1-4648.html,10.0,33.0,166.0,1695.0,No. 1 Clive Christian (male) ~ 2001,43.0,-23.0,0.021364221364221364,0.23255813953488372,2229.0,204.0,0.26865671641791045
https://www.fragrantica.com/perfume/Bond-No-9/New-Haarlem-3258.html,7.0,24.0,30.0,811.0,New Haarlem Bond No 9 (unisex) ~ 2003,31.0,-17.0,0.02290862290862291,0.22580645161290322,1059.0,1374.0,0.2727272727272727
https://www.fragrantica.com/perfume/Zara/Zara-Man-N-18o-34-54-O-68o-24-15-38028.html,1.0,12.0,29.0,812.0,Zara Man N 18º 34' 54'' O -68º 24' 15'' Zara (male) ~ 2015,13.0,-11.0,0.02445302445302445,0.07692307692307693,1062.5,1370.5,0.24324324324324326
https://www.fragrantica.com/perfume/Jacomo/Jacomo-for-Men-1458.html,8.0,27.0,28.0,813.0,Jacomo for Men Jacomo (male) ~ 2007,35.0,-19.0,0.022393822393822392,0.22857142857142856,1067.5,1365.5,0.2711864406779661
https://www.fragrantica.com/perfume/Alfred-Dunhill/Icon-Elite-38982.html,6.0,23.0,27.0,814.0,Icon Elite Alfred Dunhill (male) ~ 2016,29.0,-17.0,0.02290862290862291,0.20689655172413793,1071.5,1361.5,0.2641509433962264
https://www.fragrantica.com/perfume/Gap/Grass-34614.html,2.0,15.0,25.0,816.0,Grass Gap (unisex) ~ 1994,17.0,-13.0,0.023938223938223938,0.11764705882352941,1076.0,1357.0,0.24390243902439024
https://www.fragrantica.com/perfume/Paris-Hilton/Just-Me-for-Men-1433.html,3.0,17.0,24.0,817.0,Just Me for Men Paris Hilton (male) ~ 2006,20.0,-14.0,0.02368082368082368,0.15,1080.5,1352.5,0.25
