fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity,total_similarity
Armani Code Absolu pour Homme Giorgio Armani 2019,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.779,0.995,0.903,0.996,0.531
Armani Code Absolu pour Homme Giorgio Armani 2019,Acqua di Giò Parfum Giorgio Armani 2023,0.189,0.722,0.65,0.956,-0.478
Armani Code Absolu pour Homme Giorgio Armani 2019,Althaïr Parfums de Marly 2023,0.886,0.999,0.985,0.936,0.767
Armani Code Absolu pour Homme Giorgio Armani 2019,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.753,0.972,0.989,0.677,0.229
Armani Code Absolu pour Homme Giorgio Armani 2019,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.581,0.789,0.714,0.986,-0.377
Armani Code Absolu pour Homme Giorgio Armani 2019,Angels' Share Kilian 2020,0.87,0.988,0.98,0.817,0.657
Armani Code Absolu pour Homme Giorgio Armani 2019,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.191,0.648,0.536,0.996,-0.541
Armani Code Giorgio Armani 2021 EAU DE PARFUM,1 Million Elixir Paco Rabanne 2022,0.717,0.928,0.993,0.951,0.365
Armani Code Giorgio Armani 2021 EAU DE PARFUM,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.8,0.948,0.994,0.95,0.449
Armani Code Giorgio Armani 2021 EAU DE PARFUM,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.801,0.979,0.967,0.984,0.337
Armani Code Giorgio Armani 2021 EAU DE PARFUM,Acqua di Giò Parfum Giorgio Armani 2023,0.421,0.863,0.763,0.98,-0.282
Armani Code Giorgio Armani 2021 EAU DE PARFUM,Althaïr Parfums de Marly 2023,0.733,0.966,0.94,0.939,0.546
Armani Code Giorgio Armani 2021 EAU DE PARFUM,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.793,0.991,0.998,0.686,0.16
Armani Code Giorgio Armani 2021 EAU DE PARFUM,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.796,0.913,0.82,0.984,-0.135
Armani Code Giorgio Armani 2021 EAU DE PARFUM,Angels' Share Kilian 2020,0.742,0.913,0.928,0.829,0.384
Armani Code Giorgio Armani 2021 EAU DE PARFUM,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.416,0.794,0.66,0.999,-0.433
Armani Code Giorgio Armani 2021 EAU DE PARFUM,Armani Code Absolu pour Homme Giorgio Armani 2019,0.836,0.964,0.982,0.992,0.707
Artisan Pure John Varvatos 2017,1 Million Elixir Paco Rabanne 2022,0.118,0.534,0.37,0.969,-0.509
Artisan Pure John Varvatos 2017,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.051,0.57,0.454,0.964,-0.65
Artisan Pure John Varvatos 2017,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.348,0.66,0.629,0.976,-0.388
Artisan Pure John Varvatos 2017,Acqua di Giò Parfum Giorgio Armani 2023,0.62,0.969,0.92,0.971,0.361
Artisan Pure John Varvatos 2017,Althaïr Parfums de Marly 2023,0.13,0.608,0.18,0.969,-0.464
Artisan Pure John Varvatos 2017,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.237,0.741,0.429,0.741,-0.335
Artisan Pure John Varvatos 2017,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.722,0.949,0.886,0.996,0.647
Artisan Pure John Varvatos 2017,Angels' Share Kilian 2020,0.106,0.49,0.159,0.871,-0.621
Artisan Pure John Varvatos 2017,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.635,0.995,0.973,0.995,0.545
Artisan Pure John Varvatos 2017,Armani Code Absolu pour Homme Giorgio Armani 2019,0.097,0.599,0.344,0.99,-0.625
Artisan Pure John Varvatos 2017,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.435,0.754,0.478,0.993,-0.416
Aventus Creed 2010,1 Million Elixir Paco Rabanne 2022,0.432,0.825,0.774,0.938,-0.165
Aventus Creed 2010,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.386,0.854,0.822,0.938,-0.218
Aventus Creed 2010,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.542,0.909,0.925,0.97,-0.102
Aventus Creed 2010,Acqua di Giò Parfum Giorgio Armani 2023,0.526,0.963,0.99,0.993,0.138
Aventus Creed 2010,Althaïr Parfums de Marly 2023,0.226,0.881,0.625,0.913,-0.4
Aventus Creed 2010,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.298,0.947,0.811,0.622,-0.537
Aventus Creed 2010,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.748,0.983,0.998,0.964,0.169
Aventus Creed 2010,Angels' Share Kilian 2020,0.273,0.802,0.604,0.781,-0.432
Aventus Creed 2010,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.578,0.926,0.959,0.993,0.181
Aventus Creed 2010,Armani Code Absolu pour Homme Giorgio Armani 2019,0.345,0.878,0.747,0.981,-0.269
Aventus Creed 2010,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.531,0.962,0.843,0.994,-0.209
