fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity,total_similarity
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Aventus Creed 2010,0.443,0.897,0.886,0.992,-0.214
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Awake Akro 2018,0.669,0.914,0.985,0.833,-0.008
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bad Boy Cobalt Carolina Herrera 2022,0.607,0.822,0.896,0.973,-0.265
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bentley for Men Absolute Bentley 2014,0.534,0.987,0.961,0.921,0.207
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.285,0.627,0.672,0.851,-0.624
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.462,0.802,0.888,0.996,-0.242
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Bon Monsieur Rogue 2020,0.427,0.859,0.906,0.917,-0.258
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Boss Bottled Elixir Hugo Boss 2023,0.713,0.99,0.941,0.961,0.364
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Boss Bottled Parfum Hugo Boss 2022,0.767,0.962,0.993,0.992,0.331
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Chrome Azzaro 1996 EAU DE TOILETTE,0.376,0.598,0.69,0.994,-0.448
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Chrome Extrême Azzaro 2020,0.188,0.7,0.664,0.99,-0.545
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Cigar Rum Strangers Parfumerie 2017,0.672,0.978,0.989,0.891,0.144
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Club Black Mercedes-Benz 2017,0.676,0.998,0.925,0.967,0.333
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.44,0.76,0.71,0.967,-0.49
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dark Akro 2018,0.684,0.959,0.961,0.817,0.083
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dior Homme Cologne Dior 2013,0.143,0.585,0.577,0.982,-0.669
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.61,0.79,0.848,0.994,-0.185
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dior Homme Intense Dior 2011,0.722,0.995,0.966,0.967,0.51
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Dior Homme Parfum Dior 2014,0.641,0.989,0.96,0.953,0.445
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Eau Parfumée au Thé Blanc Bvlgari 2003,0.43,0.64,0.767,0.685,-0.493
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Eau Parfumée au Thé Vert Bvlgari 1992,0.349,0.54,0.663,0.675,-0.567
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Eau de Soleil Blanc Tom Ford 2017,0.333,0.77,0.603,0.725,-0.465
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.797,0.986,0.9,0.998,0.627
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Eros Versace 2020 EAU DE PARFUM,0.549,0.97,0.962,0.963,0.062
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Explorer Montblanc 2019,0.385,0.757,0.876,0.996,-0.438
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,First Instinct Together Man Abercrombie & Fitch 2020,0.342,0.516,0.78,0.964,-0.586
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Gentleman Givenchy Réserve Privée Givenchy 2022,0.817,0.996,0.936,0.962,0.587
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.451,0.777,0.888,0.955,-0.285
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.81,0.862,0.922,0.992,0.117
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Haltane Parfums de Marly 2021,0.863,0.998,0.978,0.939,0.66
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Hero Burberry 2022 EAU DE PARFUM,0.779,0.935,0.974,0.999,0.24
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Herod Parfums de Marly 2012,0.858,0.996,0.924,0.974,0.654
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Hugo Iced Hugo Boss 2017,0.281,0.534,0.659,0.998,-0.636
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Invictus Platinum Paco Rabanne 2022,0.525,0.834,0.85,0.946,-0.217
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Invictus Victory Paco Rabanne 2021,0.761,0.992,0.994,0.979,0.432
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,Jimmy Choo Man Aqua Jimmy Choo 2022,0.312,0.549,0.645,0.981,-0.388
La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.374,0.698,0.72,0.996,-0.615
Layton Parfums de Marly 2016,1 Million Elixir Paco Rabanne 2022,0.85,0.971,0.991,0.971,0.685
Layton Parfums de Marly 2016,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.894,0.982,0.993,0.969,0.746
Layton Parfums de Marly 2016,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.854,0.996,0.971,0.989,0.551
Layton Parfums de Marly 2016,Acqua di Giò Parfum Giorgio Armani 2023,0.292,0.8,0.774,0.972,-0.474
Layton Parfums de Marly 2016,Althaïr Parfums de Marly 2023,0.78,0.991,0.934,0.949,0.606
Layton Parfums de Marly 2016,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.672,0.989,0.997,0.698,0.054
Layton Parfums de Marly 2016,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.725,0.859,0.83,0.99,-0.27
Layton Parfums de Marly 2016,Angels' Share Kilian 2020,0.828,0.958,0.922,0.837,0.586
Layton Parfums de Marly 2016,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.3,0.734,0.674,0.999,-0.555
Layton Parfums de Marly 2016,Armani Code Absolu pour Homme Giorgio Armani 2019,0.878,0.989,0.979,0.997,0.761
Layton Parfums de Marly 2016,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.839,0.989,1.0,0.997,0.594
Layton Parfums de Marly 2016,Artisan Pure John Varvatos 2017,0.231,0.693,0.493,0.997,-0.61
Layton Parfums de Marly 2016,Aventus Creed 2010,0.605,0.928,0.852,0.989,0.016
Layton Parfums de Marly 2016,Awake Akro 2018,0.716,0.948,0.993,0.847,0.171
Layton Parfums de Marly 2016,Bad Boy Cobalt Carolina Herrera 2022,0.76,0.868,0.864,0.972,0.027
Layton Parfums de Marly 2016,Bentley for Men Absolute Bentley 2014,0.444,0.992,0.975,0.921,0.088
Layton Parfums de Marly 2016,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.31,0.692,0.622,0.866,-0.642
Layton Parfums de Marly 2016,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.455,0.847,0.854,0.993,-0.335
Layton Parfums de Marly 2016,Bon Monsieur Rogue 2020,0.36,0.899,0.875,0.917,-0.383
Layton Parfums de Marly 2016,Boss Bottled Elixir Hugo Boss 2023,0.618,0.992,0.961,0.959,0.236
Layton Parfums de Marly 2016,Boss Bottled Parfum Hugo Boss 2022,0.808,0.981,0.992,0.988,0.403
Layton Parfums de Marly 2016,Chrome Azzaro 1996 EAU DE TOILETTE,0.333,0.663,0.641,0.992,-0.545
Layton Parfums de Marly 2016,Chrome Extrême Azzaro 2020,0.302,0.756,0.611,0.985,-0.433
Layton Parfums de Marly 2016,Cigar Rum Strangers Parfumerie 2017,0.767,0.983,0.996,0.902,0.269
Layton Parfums de Marly 2016,Club Black Mercedes-Benz 2017,0.776,0.994,0.947,0.973,0.582
Layton Parfums de Marly 2016,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.425,0.816,0.661,0.973,-0.584
Layton Parfums de Marly 2016,Dark Akro 2018,0.713,0.97,0.975,0.832,0.159
Layton Parfums de Marly 2016,Dior Homme Cologne Dior 2013,0.225,0.649,0.522,0.986,-0.607
Layton Parfums de Marly 2016,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.54,0.839,0.81,0.996,-0.403
Layton Parfums de Marly 2016,Dior Homme Intense Dior 2011,0.664,0.977,0.98,0.971,0.405
Layton Parfums de Marly 2016,Dior Homme Parfum Dior 2014,0.54,0.968,0.975,0.955,0.281
Layton Parfums de Marly 2016,Eau Parfumée au Thé Blanc Bvlgari 2003,0.375,0.703,0.723,0.702,-0.641
Layton Parfums de Marly 2016,Eau Parfumée au Thé Vert Bvlgari 1992,0.276,0.612,0.613,0.695,-0.701
Layton Parfums de Marly 2016,Eau de Soleil Blanc Tom Ford 2017,0.46,0.831,0.549,0.742,-0.241
Layton Parfums de Marly 2016,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.819,0.967,0.924,0.998,0.658
Layton Parfums de Marly 2016,Eros Versace 2020 EAU DE PARFUM,0.664,0.985,0.941,0.96,0.259
Layton Parfums de Marly 2016,Explorer Montblanc 2019,0.475,0.807,0.841,0.992,-0.329
Layton Parfums de Marly 2016,First Instinct Together Man Abercrombie & Fitch 2020,0.491,0.588,0.738,0.968,-0.422
Layton Parfums de Marly 2016,Gentleman Givenchy Réserve Privée Givenchy 2022,0.777,0.982,0.957,0.959,0.561
Layton Parfums de Marly 2016,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.386,0.824,0.854,0.956,-0.459
Layton Parfums de Marly 2016,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.756,0.903,0.893,0.995,-0.087
Layton Parfums de Marly 2016,Haltane Parfums de Marly 2021,0.757,0.991,0.988,0.939,0.46
Layton Parfums de Marly 2016,Hero Burberry 2022 EAU DE PARFUM,0.763,0.963,0.982,0.999,0.297
Layton Parfums de Marly 2016,Herod Parfums de Marly 2012,0.898,0.985,0.946,0.979,0.736
Layton Parfums de Marly 2016,Hugo Iced Hugo Boss 2017,0.299,0.608,0.606,0.999,-0.643
Layton Parfums de Marly 2016,Invictus Platinum Paco Rabanne 2022,0.593,0.878,0.813,0.947,-0.109
Layton Parfums de Marly 2016,Invictus Victory Paco Rabanne 2021,0.722,0.996,0.997,0.976,0.4
Layton Parfums de Marly 2016,Jimmy Choo Man Aqua Jimmy Choo 2022,0.265,0.617,0.591,0.979,-0.47
Layton Parfums de Marly 2016,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.367,0.756,0.672,0.997,-0.702
Layton Parfums de Marly 2016,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.874,0.994,0.998,1.0,0.693
Le Mâle Elixir Jean Paul Gaultier 2023,1 Million Elixir Paco Rabanne 2022,0.729,0.999,0.994,0.991,0.68
Le Mâle Elixir Jean Paul Gaultier 2023,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.755,0.998,0.988,0.987,0.62
Le Mâle Elixir Jean Paul Gaultier 2023,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.691,0.987,0.9,0.98,0.416
Le Mâle Elixir Jean Paul Gaultier 2023,Acqua di Giò Parfum Giorgio Armani 2023,0.138,0.672,0.629,0.939,-0.418
Le Mâle Elixir Jean Paul Gaultier 2023,Althaïr Parfums de Marly 2023,0.957,0.994,0.989,0.965,0.905
Le Mâle Elixir Jean Paul Gaultier 2023,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.671,0.953,0.989,0.741,0.345
Le Mâle Elixir Jean Paul Gaultier 2023,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.468,0.744,0.696,0.994,-0.279
Le Mâle Elixir Jean Paul Gaultier 2023,Angels' Share Kilian 2020,0.889,0.995,0.983,0.864,0.75
Le Mâle Elixir Jean Paul Gaultier 2023,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.1,0.605,0.511,0.985,-0.487
Le Mâle Elixir Jean Paul Gaultier 2023,Armani Code Absolu pour Homme Giorgio Armani 2019,0.9,0.994,0.999,0.991,0.872
Le Mâle Elixir Jean Paul Gaultier 2023,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.699,0.937,0.98,0.978,0.563
Le Mâle Elixir Jean Paul Gaultier 2023,Artisan Pure John Varvatos 2017,0.06,0.56,0.313,0.992,-0.455
Le Mâle Elixir Jean Paul Gaultier 2023,Aventus Creed 2010,0.157,0.841,0.728,0.961,-0.398
Le Mâle Elixir Jean Paul Gaultier 2023,Awake Akro 2018,0.788,0.888,0.994,0.871,0.478
Le Mâle Elixir Jean Paul Gaultier 2023,Bad Boy Cobalt Carolina Herrera 2022,0.474,0.783,0.74,0.986,-0.034
Le Mâle Elixir Jean Paul Gaultier 2023,Bentley for Men Absolute Bentley 2014,0.182,0.969,0.999,0.867,-0.025
Le Mâle Elixir Jean Paul Gaultier 2023,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.039,0.549,0.45,0.894,-0.594
Le Mâle Elixir Jean Paul Gaultier 2023,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.128,0.726,0.731,0.97,-0.559
Le Mâle Elixir Jean Paul Gaultier 2023,Bon Monsieur Rogue 2020,0.118,0.801,0.755,0.881,-0.354
Le Mâle Elixir Jean Paul Gaultier 2023,Boss Bottled Elixir Hugo Boss 2023,0.368,0.984,0.997,0.922,0.118
Le Mâle Elixir Jean Paul Gaultier 2023,Boss Bottled Parfum Hugo Boss 2022,0.409,0.926,0.956,0.959,-0.052
Le Mâle Elixir Jean Paul Gaultier 2023,Chrome Azzaro 1996 EAU DE TOILETTE,0.177,0.529,0.471,0.976,-0.444
Le Mâle Elixir Jean Paul Gaultier 2023,Chrome Extrême Azzaro 2020,0.039,0.636,0.439,0.968,-0.474
Le Mâle Elixir Jean Paul Gaultier 2023,Cigar Rum Strangers Parfumerie 2017,0.371,0.972,0.987,0.9,0.029
Le Mâle Elixir Jean Paul Gaultier 2023,Club Black Mercedes-Benz 2017,0.918,0.993,0.993,0.98,0.854
Le Mâle Elixir Jean Paul Gaultier 2023,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.111,0.694,0.497,0.973,-0.644
Le Mâle Elixir Jean Paul Gaultier 2023,Dark Akro 2018,0.71,0.973,0.999,0.856,0.375
Le Mâle Elixir Jean Paul Gaultier 2023,Dior Homme Cologne Dior 2013,0.0,0.516,0.341,0.993,-0.537
Le Mâle Elixir Jean Paul Gaultier 2023,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.413,0.715,0.671,0.993,-0.227
Le Mâle Elixir Jean Paul Gaultier 2023,Dior Homme Intense Dior 2011,0.754,0.987,1.0,0.951,0.634
Le Mâle Elixir Jean Paul Gaultier 2023,Dior Homme Parfum Dior 2014,0.502,0.986,1.0,0.925,0.406
Le Mâle Elixir Jean Paul Gaultier 2023,Eau Parfumée au Thé Blanc Bvlgari 2003,0.159,0.558,0.567,0.759,-0.426
Le Mâle Elixir Jean Paul Gaultier 2023,Eau Parfumée au Thé Vert Bvlgari 1992,0.114,0.457,0.44,0.752,-0.467
Le Mâle Elixir Jean Paul Gaultier 2023,Eau de Soleil Blanc Tom Ford 2017,0.51,0.719,0.378,0.802,0.108
Le Mâle Elixir Jean Paul Gaultier 2023,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.846,0.994,0.984,0.986,0.698
Le Mâle Elixir Jean Paul Gaultier 2023,Eros Versace 2020 EAU DE PARFUM,0.451,0.96,0.852,0.968,0.211
Le Mâle Elixir Jean Paul Gaultier 2023,Explorer Montblanc 2019,0.116,0.681,0.71,0.972,-0.55
Le Mâle Elixir Jean Paul Gaultier 2023,First Instinct Together Man Abercrombie & Fitch 2020,0.318,0.478,0.58,0.993,-0.273
Le Mâle Elixir Jean Paul Gaultier 2023,Gentleman Givenchy Réserve Privée Givenchy 2022,0.82,0.993,0.996,0.913,0.685
Le Mâle Elixir Jean Paul Gaultier 2023,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.101,0.693,0.729,0.917,-0.551
Le Mâle Elixir Jean Paul Gaultier 2023,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.411,0.797,0.78,0.989,-0.383
Le Mâle Elixir Jean Paul Gaultier 2023,Haltane Parfums de Marly 2021,0.468,0.989,0.996,0.891,0.158
Le Mâle Elixir Jean Paul Gaultier 2023,Hero Burberry 2022 EAU DE PARFUM,0.592,0.897,0.982,0.989,0.26
Le Mâle Elixir Jean Paul Gaultier 2023,Herod Parfums de Marly 2012,0.793,0.995,0.993,0.966,0.669
Le Mâle Elixir Jean Paul Gaultier 2023,Hugo Iced Hugo Boss 2017,0.066,0.458,0.431,0.995,-0.568
Le Mâle Elixir Jean Paul Gaultier 2023,Invictus Platinum Paco Rabanne 2022,0.467,0.808,0.673,0.97,0.022
Le Mâle Elixir Jean Paul Gaultier 2023,Invictus Victory Paco Rabanne 2021,0.697,0.985,0.979,0.976,0.53
Le Mâle Elixir Jean Paul Gaultier 2023,Jimmy Choo Man Aqua Jimmy Choo 2022,0.067,0.496,0.415,0.975,-0.397
Le Mâle Elixir Jean Paul Gaultier 2023,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.104,0.63,0.508,0.985,-0.665
Le Mâle Elixir Jean Paul Gaultier 2023,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.647,0.986,0.961,0.987,0.398
Le Mâle Elixir Jean Paul Gaultier 2023,Layton Parfums de Marly 2016,0.723,0.977,0.977,0.99,0.613
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.755,0.952,0.954,0.992,0.558
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.84,0.965,0.975,0.991,0.706
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.884,0.986,0.982,0.989,0.57
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.368,0.845,0.864,0.949,-0.324
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.638,0.975,0.871,0.944,0.243
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.782,0.984,0.971,0.688,0.242
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.756,0.895,0.907,0.987,-0.045
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Angels' Share Kilian 2020,0.679,0.934,0.857,0.825,0.26
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.351,0.799,0.785,0.99,-0.299
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Armani Code Absolu pour Homme Giorgio Armani 2019,0.8,0.971,0.942,0.997,0.548
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.866,0.983,0.983,0.983,0.461
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Artisan Pure John Varvatos 2017,0.29,0.764,0.63,0.99,-0.359
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Aventus Creed 2010,0.416,0.954,0.925,0.973,-0.335
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Awake Akro 2018,0.512,0.961,0.964,0.834,-0.204
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bad Boy Cobalt Carolina Herrera 2022,0.683,0.92,0.929,0.992,0.089
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bentley for Men Absolute Bentley 2014,0.36,0.984,0.932,0.871,-0.093
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.291,0.755,0.74,0.859,-0.509
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.43,0.883,0.927,0.982,-0.352
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Bon Monsieur Rogue 2020,0.384,0.93,0.939,0.876,-0.331
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Boss Bottled Elixir Hugo Boss 2023,0.575,0.982,0.905,0.926,0.104
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Boss Bottled Parfum Hugo Boss 2022,0.682,0.98,0.981,0.97,-0.014
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Chrome Azzaro 1996 EAU DE TOILETTE,0.451,0.739,0.757,0.989,-0.17
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Chrome Extrême Azzaro 2020,0.281,0.822,0.731,0.98,-0.298
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Cigar Rum Strangers Parfumerie 2017,0.501,0.975,0.969,0.875,-0.169
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Club Black Mercedes-Benz 2017,0.654,0.979,0.887,0.966,0.243
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.373,0.864,0.775,0.96,-0.526
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dark Akro 2018,0.54,0.97,0.931,0.817,-0.08
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dior Homme Cologne Dior 2013,0.243,0.727,0.655,0.984,-0.359
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.735,0.87,0.892,0.991,0.156
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dior Homme Intense Dior 2011,0.751,0.953,0.939,0.944,0.45
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Dior Homme Parfum Dior 2014,0.645,0.942,0.932,0.92,0.325
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Eau Parfumée au Thé Blanc Bvlgari 2003,0.51,0.761,0.825,0.707,-0.24
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Eau Parfumée au Thé Vert Bvlgari 1992,0.399,0.679,0.733,0.699,-0.323
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Eau de Soleil Blanc Tom Ford 2017,0.486,0.877,0.68,0.754,-0.134
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.742,0.943,0.86,0.988,0.447
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Eros Versace 2020 EAU DE PARFUM,0.67,0.998,0.983,0.981,0.32
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Explorer Montblanc 2019,0.414,0.854,0.914,0.984,-0.34
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,First Instinct Together Man Abercrombie & Fitch 2020,0.542,0.683,0.833,0.986,-0.048
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Gentleman Givenchy Réserve Privée Givenchy 2022,0.745,0.96,0.899,0.923,0.345
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.384,0.855,0.925,0.918,-0.51
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.742,0.916,0.951,0.986,-0.027
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Haltane Parfums de Marly 2021,0.707,0.974,0.954,0.894,0.263
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Hero Burberry 2022 EAU DE PARFUM,0.743,0.969,0.947,0.995,0.156
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Herod Parfums de Marly 2012,0.756,0.966,0.886,0.957,0.377
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Hugo Iced Hugo Boss 2017,0.352,0.682,0.726,0.997,-0.36
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Invictus Platinum Paco Rabanne 2022,0.695,0.931,0.891,0.976,0.256
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Invictus Victory Paco Rabanne 2021,0.798,0.988,0.979,0.989,0.482
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Jimmy Choo Man Aqua Jimmy Choo 2022,0.292,0.7,0.714,0.988,-0.23
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.407,0.818,0.784,0.985,-0.39
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.909,0.976,0.995,0.993,0.723
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Layton Parfums de Marly 2016,0.79,0.991,0.986,0.994,0.42
Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,Le Mâle Elixir Jean Paul Gaultier 2023,0.676,0.961,0.933,0.997,0.45
Legend Montblanc 2011 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.626,0.663,0.783,0.958,-0.117
Legend Montblanc 2011 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.568,0.699,0.82,0.96,-0.197
Legend Montblanc 2011 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.683,0.782,0.939,0.988,-0.043
Legend Montblanc 2011 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.593,0.995,0.987,0.978,0.271
Legend Montblanc 2011 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.303,0.738,0.627,0.909,-0.608
Legend Montblanc 2011 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.405,0.854,0.817,0.615,-0.613
Legend Montblanc 2011 EAU DE TOILETTE,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.807,0.995,0.997,0.969,0.399
Legend Montblanc 2011 EAU DE TOILETTE,Angels' Share Kilian 2020,0.361,0.627,0.604,0.773,-0.701
Legend Montblanc 2011 EAU DE TOILETTE,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.664,0.983,0.949,0.997,0.467
