name,link,upvotes,downvotes,year,order
Dior Homme Intense 2011 Dior (male) ~ 2011,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,2512,1119,2011,1
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,2017,1035,2014,2
Terre d'Hermès Hermès (male) ~ 2006,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,1841,1098,2006,3
Layton Parfums de Marly (unisex) ~ 2016,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,1639,945,2016,4
Sauvage Elixir Dior (male) ~ 2021,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html,1823,1335,2021,5
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,1615,919,2020,6
Dior Homme Parfum Dior (male) ~ 2014,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html,1568,933,2014,7
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html,1484,860,2015,8
Aventus Creed (male) ~ 2010,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,1628,1182,2010,9
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,1362,754,2015,10
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html,1372,777,2009,11
Ombré Leather (2018) Tom Ford (unisex) ~ 2018,https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html,1395,884,2018,12
XJ 1861 Naxos Xerjoff (unisex) ~ 2015,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,1179,665,2015,13
Bleu de Chanel Parfum Chanel (male) ~ 2018,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Parfum-49912.html,1258,908,2018,14
Prada L'Homme Prada (male) ~ 2016,https://www.fragrantica.com/perfume/Prada/Prada-L-Homme-39029.html,1111,681,2016,15
