name,link,upvotes,downvotes,year,order
Cherries Oriflame (female) ~ 2009,https://www.fragrantica.com/perfume/Oriflame/Cherries-9800.html,5,9,2009,114
Heat Rush Beyoncé (female) ~ 2010,https://www.fragrantica.com/perfume/Beyonce/Heat-Rush-10546.html,3,5,2010,115
Zahd Slumberhouse (unisex) ~ 2013,https://www.fragrantica.com/perfume/Slumberhouse/Zahd-24543.html,3,5,2013,116
Memories The Gate Fragrances Paris (unisex) ~ 2016,https://www.fragrantica.com/perfume/The-Gate-Fragrances-Paris/Memories-37798.html,20,40,2016,117
Cherry Blossom Floris (female) ~ 2013,https://www.fragrantica.com/perfume/Floris/Cherry-Blossom-17535.html,14,28,2013,118
Ruby Woo MAC (female) ~ 2016,https://www.fragrantica.com/perfume/MAC/Ruby-Woo-42255.html,14,28,2016,119
Red d'Amour Laurent Mazzone Parfums (unisex) ~ 2022,https://www.fragrantica.com/perfume/Laurent-Mazzone-Parfums/Red-d-Amour-76313.html,4,8,2022,120
Cherry Syrup Gold Proad (unisex) ~ 2022,https://www.fragrantica.com/perfume/Proad/Cherry-Syrup-Gold-74178.html,4,8,2022,121
Muddled Plum Molton Brown (unisex) ~ 2018,https://www.fragrantica.com/perfume/Molton-Brown/Muddled-Plum-51856.html,4,8,2018,122
Colcci Urban Girls Colcci (female) ~ 2021,https://www.fragrantica.com/perfume/Colcci/Colcci-Urban-Girls-71094.html,2,4,2021,123
Magda Lubin (female) ~ 2021,https://www.fragrantica.com/perfume/Lubin/Magda-69154.html,16,33,2021,124
Insurrection II Wild Reyane Tradition (male),https://www.fragrantica.com/perfume/Reyane-Tradition/Insurrection-II-Wild-30721.html,5,11,0,125
Woman Cherry Zara (female) ~ 2021,https://www.fragrantica.com/perfume/Zara/Woman-Cherry-69133.html,5,11,2021,126
Everlasting Cinematic Infusions (unisex) ~ 2022,https://www.fragrantica.com/perfume/Cinematic-Infusions/Everlasting-76327.html,3,7,2022,127
Tea for Two L'Artisan Parfumeur (unisex) ~ 2000,https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/Tea-for-Two-5242.html,2,5,2000,128
Ruby Rush Paris Hilton (female) ~ 2022,https://www.fragrantica.com/perfume/Paris-Hilton/Ruby-Rush-70551.html,25,52,2022,129
Under My Skin Francesca Bianchi (unisex) ~ 2017,https://www.fragrantica.com/perfume/Francesca-Bianchi/Under-My-Skin-46650.html,14,30,2017,130
Chinatown Bond No 9 (unisex) ~ 2005,https://www.fragrantica.com/perfume/Bond-No-9/Chinatown-1300.html,13,28,2005,131
At the Time of Cherries (Au Temps des Cerises) Parfums et Senteurs du Pays Basque (unisex),https://www.fragrantica.com/perfume/Parfums-et-Senteurs-du-Pays-Basque/At-the-Time-of-Cherries-Au-Temps-des-Cerises-25927.html,2,6,0,132
Modest Deux Afnan (female) ~ 2019,https://www.fragrantica.com/perfume/Afnan/Modest-Deux-59135.html,2,6,2019,133
Blood Cherry Cordial Ikiryō (unisex) ~ 2017,https://www.fragrantica.com/perfume/Ikiryo/Blood-Cherry-Cordial-43278.html,1,4,2017,134
Sakura Cherry Blossom Jo Malone London (female) ~ 2011,https://www.fragrantica.com/perfume/Jo-Malone-London/Sakura-Cherry-Blossom-11639.html,21,45,2011,135
Joop! Homme Joop! (male) ~ 1989,https://www.fragrantica.com/perfume/Joop/Joop-Homme-1251.html,25,53,1989,136
Burberry Her Burberry (female) ~ 2018,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-51694.html,38,79,2018,137
Red Giorgio Beverly Hills (female) ~ 1989,https://www.fragrantica.com/perfume/Giorgio-Beverly-Hills/Red-5225.html,11,25,1989,138
212 VIP Rosé Extra Carolina Herrera (female) ~ 2019,https://www.fragrantica.com/perfume/Carolina-Herrera/212-VIP-Rose-Extra-53492.html,6,15,2019,139
John Galliano John Galliano (female) ~ 2008,https://www.fragrantica.com/perfume/John-Galliano/John-Galliano-4056.html,4,11,2008,140
Chocolate Covered Cherries Stand Around Creations (unisex) ~ 2015,https://www.fragrantica.com/perfume/Stand-Around-Creations/Chocolate-Covered-Cherries-65454.html,2,7,2015,141
Extreme Rush Michael Kors (male) ~ 2019,https://www.fragrantica.com/perfume/Michael-Kors/Extreme-Rush-54240.html,2,7,2019,142
Valentina Blush Valentino (female) ~ 2017,https://www.fragrantica.com/perfume/Valentino/Valentina-Blush-44550.html,23,50,2017,143
Benjoin en Fleur Claudio Zucca Parfums (unisex) ~ 2022,https://www.fragrantica.com/perfume/Claudio-Zucca-Parfums/Benjoin-en-Fleur-75133.html,9,22,2022,144
Glamour Diva O Boticário (female) ~ 2019,https://www.fragrantica.com/perfume/O-Boticario/Glamour-Diva-57676.html,6,16,2019,145
Liquid Cashmere Black Donna Karan (female) ~ 2015,https://www.fragrantica.com/perfume/Donna-Karan/Liquid-Cashmere-Black-31957.html,5,14,2015,146
Purple Heart V 5 Map Of The Heart (female) ~ 2016,https://www.fragrantica.com/perfume/Map-Of-The-Heart/Purple-Heart-V-5-41107.html,4,12,2016,147
