name,link,upvotes,downvotes,year,order
Sauvage Elixir Dior (male) ~ 2021,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html,3880,2542,2021,1
Gentleman Eau de Parfum Reserve Privée Givenchy (male) ~ 2022,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Eau-de-Parfum-Reserve-Privee-71272.html,2589,1113,2022,2
Ombré Leather Parfum Tom Ford (unisex) ~ 2021,https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-Parfum-68716.html,2450,1181,2021,3
La Nuit de L'Homme Bleu Électrique Yves Saint Laurent (male) ~ 2021,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-L-Homme-Bleu-Electrique-67997.html,2197,936,2021,4
Emporio Armani Stronger With You Absolutely Giorgio Armani (male) ~ 2021,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Absolutely-64501.html,1989,865,2021,5
Dior Homme Original Dior (male) ~ 2021,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Original-69010.html,1817,743,2021,6
Terre d'Hermes Eau Givree Hermès (male) ~ 2022,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Eau-Givree-72439.html,1891,895,2022,7
Angels' Share Anniversary Edition By Kilian (unisex) ~ 2022,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-Anniversary-Edition-77132.html,1572,626,2022,8
Valentino Uomo Intense 2021 Valentino (male) ~ 2021,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Intense-2021-75094.html,1458,640,2021,9
Club de Nuit Intense Man Parfum Armaf (male) ~ 2022,https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-Parfum-72842.html,1633,1013,2022,10
Y Le Parfum Yves Saint Laurent (male) ~ 2021,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Le-Parfum-64718.html,1456,817,2021,11
The Most Wanted Parfum Azzaro (male) ~ 2022,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-Parfum-73664.html,1301,654,2022,12
Le Beau Le Parfum Jean Paul Gaultier (male) ~ 2022,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html,1243,751,2022,13
Intense Cedrat Boise Mancera (male) ~ 2021,https://www.fragrantica.com/perfume/Mancera/Intense-Cedrat-Boise-72796.html,1028,458,2021,14
Noir Extreme Parfum Tom Ford (male) ~ 2022,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-Parfum-75489.html,983,457,2022,15
Acqua di Giò Eau de Parfum Giorgio Armani (male) ~ 2022,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Eau-de-Parfum-71606.html,1139,818,2022,16
Armani Code Parfum Giorgio Armani (male) ~ 2022,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html,1022,676,2022,17
Dior Homme Sport 2021 Dior (male) ~ 2022,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Sport-2021-71326.html,1015,672,2022,18
Light Blue Forever pour Homme Dolce&Gabbana (male) ~ 2021,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Forever-pour-Homme-66556.html,900,537,2021,19
Eros Parfum Versace (male) ~ 2021,https://www.fragrantica.com/perfume/Versace/Eros-Parfum-70090.html,913,606,2021,20
Luna Rossa Ocean Prada (male) ~ 2021,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-Ocean-68753.html,879,543,2021,21
The Most Wanted Azzaro (male) ~ 2021,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-66826.html,760,349,2021,22
Narciso Rodriguez for Him Bleu Noir Parfum Narciso Rodriguez (male) ~ 2022,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-for-Him-Bleu-Noir-Parfum-71783.html,748,431,2022,23
Reflection 45 Man Amouage (male) ~ 2021,https://www.fragrantica.com/perfume/Amouage/Reflection-45-Man-69488.html,705,347,2021,24
H24 Eau de Parfum Hermès (male) ~ 2022,https://www.fragrantica.com/perfume/Hermes/H24-Eau-de-Parfum-75811.html,848,741,2022,25
Terre d'Hermes Flacon H 2021 Parfum Hermès (male) ~ 2021,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Flacon-H-2021-Parfum-65397.html,650,376,2021,26
Ébène Fumé Tom Ford (unisex) ~ 2021,https://www.fragrantica.com/perfume/Tom-Ford/Ebene-Fume-69008.html,655,391,2021,27
Spicebomb Infrared Viktor&Rolf (male) ~ 2021,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Infrared-66514.html,659,441,2021,28
Club de Nuit Intense Man Limited Edition Parfum Armaf (male) ~ 2021,https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-Limited-Edition-Parfum-77861.html,631,431,2021,29
Dior Homme Cologne 2022 Dior (male) ~ 2022,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2022-72062.html,572,314,2022,30
Y Eau de Toilette Yves Saint Laurent (male) ~ 2022,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Toilette-73440.html,633,501,2022,31
Tobacolor Dior (unisex) ~ 2021,https://www.fragrantica.com/perfume/Dior/Tobacolor-65551.html,507,265,2021,32
Armani Code Eau de Parfum Giorgio Armani (male) ~ 2021,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Parfum-65581.html,480,257,2021,33
Haltane Parfums de Marly (male) ~ 2021,https://www.fragrantica.com/perfume/Parfums-de-Marly/Haltane-70776.html,506,322,2021,34
Invictus Victory Paco Rabanne (male) ~ 2021,https://www.fragrantica.com/perfume/Paco-Rabanne/Invictus-Victory-65177.html,553,418,2021,35
Gris Charnel Extrait BDK Parfums (unisex) ~ 2022,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-Extrait-73645.html,474,275,2022,36
Khamrah Lattafa Perfumes (unisex) ~ 2022,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,456,255,2022,37
Scandal Pour Homme Jean Paul Gaultier (male) ~ 2021,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-68074.html,607,563,2021,38
1 Million Elixir Paco Rabanne (male) ~ 2022,https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-Elixir-71708.html,689,733,2022,39
