name,link,upvotes,downvotes,year,order
Althaïr Parfums de Marly (male) ~ 2023,https://www.fragrantica.com/perfume/Parfums-de-Marly/Althair-84109.html,3857,2696,2023,0
Le Male Elixir Jean Paul Gaultier (male) ~ 2023,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,4164,2696,2023,1
L'Homme Idéal Parfum Guerlain (male) ~ 2024,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Parfum-90803.html,2582,2696,2024,2
Oud Maracujá Maison Crivelli (unisex) ~ 2023,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Maracuja-83842.html,2382,2696,2023,3
Valentino Uomo Born In Roma Intense Valentino (male) ~ 2023,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Intense-78740.html,2385,2696,2023,4
Acqua di Giò Parfum Giorgio Armani (male) ~ 2023,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html,2383,2696,2023,5
Bottled Absolu Hugo Boss (male) ~ 2024,https://www.fragrantica.com/perfume/Hugo-Boss/Bottled-Absolu-96246.html,1984,2696,2024,6
Pacific Chill Louis Vuitton (unisex) ~ 2023,https://www.fragrantica.com/perfume/Louis-Vuitton/Pacific-Chill-81423.html,1906,2696,2023,7
MYSLF Eau de Parfum Yves Saint Laurent (male) ~ 2023,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/MYSLF-Eau-de-Parfum-84094.html,2062,2696,2023,8
Boss Bottled Elixir Hugo Boss (male) ~ 2023,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Bottled-Elixir-84074.html,1639,2696,2023,9
Khamrah Qahwa Lattafa Perfumes (unisex) ~ 2023,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-Qahwa-88175.html,1846,2696,2023,10
Tobacco Honey Guerlain (unisex) ~ 2023,https://www.fragrantica.com/perfume/Guerlain/Tobacco-Honey-84518.html,1375,2696,2023,11
Absolu Aventus Creed (male) ~ 2023,https://www.fragrantica.com/perfume/Creed/Absolu-Aventus-84112.html,1464,2696,2023,12
Armani Code Eau de Parfum (2024) Giorgio Armani (male) ~ 2024,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Parfum-2024-96540.html,1358,2696,2024,13
Le Beau Paradise Garden Jean Paul Gaultier (male) ~ 2024,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Paradise-Garden-88836.html,1734,2696,2024,14
Invictus Victory Elixir Rabanne (male) ~ 2023,https://www.fragrantica.com/perfume/Rabanne/Invictus-Victory-Elixir-78575.html,1290,2696,2023,15
