name,upvotes,downvotes,year,order
Dior Homme Intense 2011 Dior (male) ~ 2011,761,429,2011,1
Terre d'Hermès Hermès (male) ~ 2006,749,423,2006,2
Aventus Creed (male) ~ 2010,723,416,2010,3
Fahrenheit Dior (male) ~ 1988,738,490,1988,4
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,608,305,2009,5
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,583,387,2014,6
Acqua di Gio Giorgio Armani (male) ~ 1996,475,312,1996,7
Eau Sauvage Dior (male) ~ 1966,410,227,1966,8
Encre Noire Lalique (male) ~ 2006,386,217,2006,9
Tobacco Vanille Tom Ford (unisex) ~ 2007,398,242,2007,10
Green Irish Tweed Creed (male) ~ 1985,339,152,1985,11
The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015,338,165,2015,12
Le Male Jean Paul Gaultier (male) ~ 1995,395,287,1995,13
Dior Homme 2005 Dior (male) ~ 2005,325,168,2005,14
Egoiste Chanel (male) ~ 1990,295,129,1990,15
M7 Yves Saint Laurent (male) ~ 2002,289,122,2002,16
Sauvage Dior (male) ~ 2015,379,331,2015,17
Oud Wood Tom Ford (unisex) ~ 2007,270,127,2007,18
Vetiver Guerlain (male) ~ 2000,267,127,2000,19
Dior Homme Parfum Dior (male) ~ 2014,272,145,2014,20
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,268,145,1994,21
Habit Rouge Eau de Toilette Guerlain (male) ~ 1965,276,163,1965,22
Allure Homme Sport Chanel (male) ~ 2004,269,153,2004,23
Antaeus Chanel (male) ~ 1981,254,133,1981,24
Spicebomb Viktor&Rolf (male) ~ 2012,293,212,2012,25
Gucci pour Homme (2003) Gucci (male) ~ 2003,219,95,2003,26
A*Men Pure Malt Mugler (male) ~ 2009,224,113,2009,27
Tuscan Leather Tom Ford (unisex) ~ 2007,229,125,2007,28
A*Men Pure Havane Mugler (male) ~ 2011,234,140,2011,29
The One for Men Dolce&Gabbana (male) ~ 2008,247,176,2008,30
Kouros Yves Saint Laurent (male) ~ 1981,241,169,1981,31
L'Instant de Guerlain pour Homme Guerlain (male) ~ 2004,189,70,2004,32
Grey Vetiver Tom Ford (male) ~ 2009,206,111,2009,33
A*Men Mugler (male) ~ 1996,234,170,1996,34
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,203,124,2015,35
Dior Homme Dior (male) ~ 2011,186,96,2011,36
Egoiste Platinum Chanel (male) ~ 1993,173,76,1993,37
London for Men Burberry (male) ~ 2006,191,116,2006,38
Cool Water Davidoff (male) ~ 1988,208,152,1988,39
Pour Monsieur Chanel (male) ~ 1955,164,75,1955,40
L'Homme Yves Saint Laurent (male) ~ 2006,171,92,2006,41
Eau Sauvage Parfum Dior (male) ~ 2012,179,111,2012,42
Jubilation XXV Man Amouage (male) ~ 2007,157,76,2007,43
Aramis Aramis (male) ~ 1966,173,110,1966,44
Noir Extreme Tom Ford (male) ~ 2015,167,99,2015,45
L'Instant de Guerlain pour Homme Eau Extreme Guerlain (male) ~ 2005,139,43,2005,46
Envy for Men Gucci (male) ~ 1998,144,54,1998,47
Allure Homme Edition Blanche Chanel (male) ~ 2008,151,70,2008,48
Bvlgari Man In Black Bvlgari (male) ~ 2014,159,86,2014,49
Declaration Cartier (male) ~ 1998,155,84,1998,50
Armani Code Giorgio Armani (male) ~ 2004,156,90,2004,51
Versace Pour Homme Versace (male) ~ 2008,164,107,2008,52
Pi Givenchy (male) ~ 1998,161,103,1998,53
Polo Ralph Lauren (male) ~ 1978,154,89,1978,54
02 L'Air du Desert Marocain Tauer Perfumes (unisex) ~ 2005,138,57,2005,55
Midnight in Paris Van Cleef & Arpels (male) ~ 2010,153,91,2010,56
Opium Pour Homme Yves Saint Laurent (male) ~ 1995,146,77,1995,57
Valentino Uomo Intense Valentino (male) ~ 2016,148,85,2016,58
Boss Bottled Hugo Boss (male) ~ 1998,154,104,1998,59
Valentino Uomo Valentino (male) ~ 2014,146,99,2014,60
Aqva Pour Homme Bvlgari (male) ~ 2005,144,98,2005,61
Drakkar Noir Guy Laroche (male) ~ 1982,144,103,1982,62
Dolce&Gabbana pour Homme (1994) Dolce&Gabbana (male) ~ 1994,138,93,1994,63
Mugler Cologne Mugler (unisex) ~ 2001,118,54,2001,64
L’Homme Ideal Guerlain (male) ~ 2014,125,68,2014,65
Azzaro pour Homme Azzaro (male) ~ 1978,117,58,1978,66
Interlude Man Amouage (male) ~ 2012,113,56,2012,67
Kenzo pour Homme Kenzo (male) ~ 1991,115,64,1991,68
Allure Homme Sport Eau Extreme Chanel (male) ~ 2012,116,66,2012,69
Gentleman (1974) Givenchy (male) ~ 1974,107,58,1974,70
Bel Ami Hermès (male) ~ 1986,105,57,1986,71
Rive Gauche pour Homme Yves Saint Laurent (male) ~ 2003,106,60,2003,72
Prada L'Homme Prada (male) ~ 2016,111,74,2016,73
Gucci Pour Homme II Gucci (male) ~ 2007,96,44,2007,74
Pour Un Homme de Caron Caron (male) ~ 1934,115,84,1934,75
Heritage Eau de Toilette Guerlain (male) ~ 1992,91,42,1992,76
Musc Ravageur Frederic Malle (unisex) ~ 2000,93,50,2000,77
Versace Man Eau Fraiche Versace (male) ~ 2006,92,48,2006,78
Jaipur Homme Boucheron (male) ~ 1998,97,59,1998,79
Zino Davidoff Davidoff (male) ~ 1986,97,61,1986,80
Aqva Amara Bvlgari (male) ~ 2014,101,70,2014,81
Reflection Man Amouage (male) ~ 2006,91,56,2006,82
Black Bvlgari (unisex) ~ 1998,88,50,1998,83
Acqua di Parma Colonia Acqua di Parma (unisex) ~ 1916,85,45,1916,84
Eros Versace (male) ~ 2012,130,137,2012,85
CH Men Carolina Herrera (male) ~ 2009,97,71,2009,86
Grey Flannel Geoffrey Beene (male) ~ 1975,101,81,1975,87
Individuel Montblanc (male) ~ 2003,93,67,2003,88
Bleu de Chanel Chanel (male) ~ 2010,89,60,2010,89
Old Spice Original Shulton Company (male) ~ 1938,118,120,1938,90
Habit Rouge Eau de Parfum Guerlain (male) ~ 1965,74,32,1965,91
Chergui Serge Lutens (unisex) ~ 2001,82,49,2001,92
Herod Parfums de Marly (male) ~ 2012,72,33,2012,93
Black Afgano Nasomatto (unisex),81,52,0,94
Voyage d'Hermes Parfum Hermès (unisex) ~ 2012,75,44,2012,95
Yatagan Caron (male) ~ 1978,75,45,1978,96
Ultra Male Jean Paul Gaultier (male) ~ 2015,101,100,2015,97
Millésime Impérial Creed (unisex) ~ 1995,82,67,1995,98
Obsession for Men Calvin Klein (male) ~ 1986,68,39,1986,99
1881 Men Cerruti (male) ~ 1990,71,47,1990,100
