name,upvotes,downvotes,year,order
Dior Homme Intense 2011 Dior (male) ~ 2011,1370,573,2011,1
Terre d'Hermès Hermès (male) ~ 2006,1124,562,2006,2
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,1148,642,2014,3
Aventus Creed (male) ~ 2010,1022,640,2010,4
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,899,461,2015,5
Dior Homme Parfum Dior (male) ~ 2014,877,443,2014,6
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,836,397,2009,7
Fahrenheit Dior (male) ~ 1988,869,493,1988,8
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,715,350,2015,9
Oud Wood Tom Ford (unisex) ~ 2007,683,308,2007,10
The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015,681,325,2015,11
Prada L'Homme Prada (male) ~ 2016,659,302,2016,12
Layton Parfums de Marly (unisex) ~ 2016,644,276,2016,13
Ombré Leather (2018) Tom Ford (unisex) ~ 2018,639,309,2018,14
Encre Noire Lalique (male) ~ 2006,612,328,2006,15
Allure Homme Sport Eau Extreme Chanel (male) ~ 2012,607,325,2012,16
L’Homme Ideal Eau de Parfum Guerlain (male) ~ 2016,568,293,2016,17
Sauvage Dior (male) ~ 2015,645,516,2015,18
Acqua di Gio Giorgio Armani (male) ~ 1996,533,314,1996,19
Green Irish Tweed Creed (male) ~ 1985,477,212,1985,20
Tobacco Vanille Tom Ford (unisex) ~ 2007,486,238,2007,21
Bleu de Chanel Parfum Chanel (male) ~ 2018,508,290,2018,22
Eau Sauvage Dior (male) ~ 1966,480,236,1966,23
Le Male Jean Paul Gaultier (male) ~ 1995,549,383,1995,24
Noir Extreme Tom Ford (male) ~ 2015,448,221,2015,25
Herod Parfums de Marly (male) ~ 2012,407,197,2012,26
Dior Homme Dior (male) ~ 2011,414,220,2011,27
Terre d'Hermes Parfum Hermès (male) ~ 2009,398,217,2009,28
A*Men Pure Havane Mugler (male) ~ 2011,396,218,2011,29
Cool Water Davidoff (male) ~ 1988,409,277,1988,30
Bvlgari Man In Black Bvlgari (male) ~ 2014,377,218,2014,31
Bentley for Men Intense Bentley (male) ~ 2013,369,213,2013,32
Versace Pour Homme Versace (male) ~ 2008,381,239,2008,33
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,350,177,1994,34
Egoiste Platinum Chanel (male) ~ 1993,351,187,1993,35
Bleu de Chanel Chanel (male) ~ 2010,374,233,2010,36
Vetiver Guerlain (male) ~ 2000,361,208,2000,37
Allure Homme Edition Blanche Eau de Parfum Chanel (male) ~ 2014,327,145,2014,38
Y Eau de Parfum Yves Saint Laurent (male) ~ 2018,358,215,2018,39
Egoiste Chanel (male) ~ 1990,355,213,1990,40
02 L'Air du Desert Marocain Tauer Perfumes (unisex) ~ 2005,311,129,2005,41
Fahrenheit Le Parfum Dior (male) ~ 2014,329,188,2014,42
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,338,219,2020,43
Valentino Uomo Intense Valentino (male) ~ 2016,271,130,2016,44
XJ 1861 Naxos Xerjoff (unisex) ~ 2015,261,114,2015,45
Allure Homme Sport Chanel (male) ~ 2004,280,159,2004,46
Prada L'Homme Intense Prada (male) ~ 2017,274,149,2017,47
Explorer Montblanc (male) ~ 2019,291,192,2019,48
Spicebomb Viktor&Rolf (male) ~ 2012,264,149,2012,49
Grand Soir Maison Francis Kurkdjian (unisex) ~ 2016,253,133,2016,50
Armani Code Absolu Giorgio Armani (male) ~ 2019,249,135,2019,51
Encre Noire A L'Extreme Lalique (male) ~ 2015,254,150,2015,52
Ultra Male Jean Paul Gaultier (male) ~ 2015,269,180,2015,53
Antaeus Chanel (male) ~ 1981,235,133,1981,54
Eau Sauvage Parfum Dior (male) ~ 2012,235,141,2012,55
Pi Givenchy (male) ~ 1998,232,136,1998,56
Club de Nuit Intense Man Armaf (male) ~ 2015,269,210,2015,57
Hacivat Nishane (unisex) ~ 2017,242,159,2017,58
Gucci Guilty Absolute Gucci (male) ~ 2017,244,164,2017,59
Gentleman Eau de Parfum Givenchy (male) ~ 2018,233,142,2018,60
M7 Yves Saint Laurent (male) ~ 2002,210,97,2002,61
Tuscan Leather Tom Ford (unisex) ~ 2007,230,137,2007,62
Reflection Man Amouage (male) ~ 2006,207,92,2006,63
Kouros Yves Saint Laurent (male) ~ 1981,265,209,1981,64
L'Homme Idéal Extrême Guerlain (male) ~ 2020,207,96,2020,65
Wanted by Night Azzaro (male) ~ 2018,227,141,2018,66
Grey Vetiver Tom Ford (male) ~ 2009,195,77,2009,67
