name,upvotes,downvotes,year,order
Dior Homme Intense 2011 Dior (male) ~ 2011,1689,694,2011,1
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,1500,717,2014,2
Terre d'Hermès Hermès (male) ~ 2006,1280,639,2006,3
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,1209,568,2015,4
Dior Homme Parfum Dior (male) ~ 2014,1103,513,2014,5
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,1055,462,2009,6
Aventus Creed (male) ~ 2010,1158,693,2010,7
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,1001,453,2015,8
Layton Parfums de Marly (unisex) ~ 2016,911,382,2016,9
Ombré Leather (2018) Tom Ford (unisex) ~ 2018,932,463,2018,10
Sauvage Elixir Dior (male) ~ 2021,1031,670,2021,11
The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015,895,445,2015,12
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,868,426,2020,13
Prada L'Homme Prada (male) ~ 2016,823,367,2016,14
Allure Homme Sport Eau Extreme Chanel (male) ~ 2012,799,360,2012,15
Fahrenheit Dior (male) ~ 1988,868,510,1988,16
Oud Wood Tom Ford (unisex) ~ 2007,752,298,2007,17
Y Eau de Parfum Yves Saint Laurent (male) ~ 2018,802,420,2018,18
L’Homme Ideal Eau de Parfum Guerlain (male) ~ 2016,670,301,2016,19
Tobacco Vanille Tom Ford (unisex) ~ 2007,682,337,2007,20
Noir Extreme Tom Ford (male) ~ 2015,609,271,2015,21
Bleu de Chanel Parfum Chanel (male) ~ 2018,651,367,2018,22
Encre Noire Lalique (male) ~ 2006,614,352,2006,23
Acqua di Gio Giorgio Armani (male) ~ 1996,616,409,1996,24
Sauvage Dior (male) ~ 2015,704,601,2015,25
Le Male Jean Paul Gaultier (male) ~ 1995,581,397,1995,26
Terre d'Hermes Parfum Hermès (male) ~ 2009,511,282,2009,27
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,514,291,1994,28
XJ 1861 Naxos Xerjoff (unisex) ~ 2015,443,157,2015,29
Bleu de Chanel Chanel (male) ~ 2010,524,342,2010,30
Versace Pour Homme Versace (male) ~ 2008,490,275,2008,31
Green Irish Tweed Creed (male) ~ 1985,491,280,1985,32
Herod Parfums de Marly (male) ~ 2012,463,238,2012,33
Bvlgari Man In Black Bvlgari (male) ~ 2014,459,248,2014,34
Egoiste Platinum Chanel (male) ~ 1993,459,257,1993,35
La Nuit de L'Homme Bleu Électrique Yves Saint Laurent (male) ~ 2021,422,201,2021,36
Ultra Male Jean Paul Gaultier (male) ~ 2015,456,280,2015,37
