name,upvotes,downvotes,year,order
Gentleman Eau de Parfum Givenchy (male) ~ 2018,114,74,2018,94
Boss Bottled Hugo Boss (male) ~ 1998,118,82,1998,95
By the Fireplace Maison Martin Margiela (unisex) ~ 2015,104,55,2015,96
Prada L'Homme Intense Prada (male) ~ 2017,107,62,2017,97
Versace Pour Homme Dylan Blue Versace (male) ~ 2016,133,115,2016,98
Mugler Cologne Mugler (unisex) ~ 2001,93,36,2001,99
Zino Davidoff Davidoff (male) ~ 1986,108,67,1986,100
Narciso Rodriguez for Him Narciso Rodriguez (male) ~ 2007,100,51,2007,101
Aramis Aramis (male) ~ 1966,121,94,1966,102
Declaration Cartier (male) ~ 1998,103,58,1998,103
Cedrat Boise Mancera (unisex) ~ 2011,113,78,2011,104
Chergui Serge Lutens (unisex) ~ 2001,94,43,2001,105
Acqua di Gio Essenza Giorgio Armani (male) ~ 2012,101,61,2012,106
Jaipur Homme Eau de Parfum Boucheron (male) ~ 1997,88,35,1997,107
Luna Rossa Black Prada (male) ~ 2018,86,35,2018,108
Black Bvlgari (unisex) ~ 1998,101,66,1998,109
Sauvage Eau de Parfum Dior (male) ~ 2018,146,159,2018,110
Paco Rabanne Pour Homme Paco Rabanne (male) ~ 1973,88,43,1973,111
Grand Soir Maison Francis Kurkdjian (unisex) ~ 2016,86,40,2016,112
Gucci Pour Homme II Gucci (male) ~ 2007,84,40,2007,113
L'Instant de Guerlain pour Homme EDP Guerlain (male) ~ 2015,84,44,2015,114
Noir de Noir Tom Ford (unisex) ~ 2007,95,67,2007,115
CK One Calvin Klein (unisex) ~ 1994,102,81,1994,116
Rive Gauche pour Homme Yves Saint Laurent (male) ~ 2003,72,24,2003,117
Gentleman (1974) Givenchy (male) ~ 1974,76,35,1974,118
Opium Pour Homme Eau de Parfum Yves Saint Laurent (male) ~ 1995,79,44,1995,119
Dior Homme Eau for Men Dior (male) ~ 2014,86,58,2014,120
Heritage Eau de Parfum Guerlain (male) ~ 1992,75,37,1992,121
Oud for Greatness Initio Parfums Prives (unisex) ~ 2018,92,71,2018,122
Neroli Portofino Tom Ford (unisex) ~ 2011,87,61,2011,123
Armani Eau Pour Homme Giorgio Armani (male) ~ 1984,72,31,1984,124
Valentino Uomo Valentino (male) ~ 2014,86,59,2014,125
Au Coeur du Désert Tauer Perfumes (unisex) ~ 2016,71,30,2016,126
CH Men Prive Carolina Herrera (male) ~ 2015,77,42,2015,127
Black Afgano Nasomatto (unisex),84,57,0,128
Habit Rouge Eau de Parfum Guerlain (male) ~ 1965,72,33,1965,129
Prada Amber Pour Homme (Prada Man) Prada (male) ~ 2006,83,56,2006,130
Prada L'Homme L'Eau Prada (male) ~ 2017,81,52,2017,131
Light Blue Eau Intense Pour Homme Dolce&Gabbana (male) ~ 2017,83,57,2017,132
Tobacco Oud Tom Ford (unisex) ~ 2013,79,54,2013,133
Bois du Portugal Creed (male) ~ 1987,76,50,1987,134
Icon Alfred Dunhill (male) ~ 2015,81,63,2015,135
