name,upvotes,downvotes,year,order
Dior Homme Intense 2011 Dior (male) ~ 2011,368,235,2011,1
Terre d'Hermes Parfum Hermès (male) ~ 2009,390,281,2009,2
Aventus Creed (male) ~ 2010,400,307,2010,3
Dior Homme Parfum Dior (male) ~ 2014,363,234,2014,4
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,326,214,2009,5
Encre Noire Lalique (male) ~ 2006,290,155,2006,6
Terre d'Hermès Hermès (male) ~ 2006,277,147,2006,7
Oud Wood Tom Ford (unisex) ~ 2007,254,135,2007,8
Fahrenheit Dior (male) ~ 1988,288,209,1988,9
Bleu de Chanel Chanel (male) ~ 2010,278,214,2010,10
Valentino Uomo Intense Valentino (male) ~ 2016,238,147,2016,11
Tuscan Leather Tom Ford (unisex) ~ 2007,211,124,2007,12
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,223,154,2015,13
Green Irish Tweed Creed (male) ~ 1985,196,108,1985,14
The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015,195,106,2015,15
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,208,133,2014,16
Herod Parfums de Marly (male) ~ 2012,178,85,2012,17
Dior Homme Dior (male) ~ 2011,188,117,2011,18
Allure Homme Edition Blanche Eau de Parfum Chanel (male) ~ 2014,175,92,2014,19
Egoiste Chanel (male) ~ 1990,188,127,1990,20
A*Men Pure Havane Mugler (male) ~ 2011,166,87,2011,21
A*Men Pure Malt Mugler (male) ~ 2009,180,118,2009,22
Layton Parfums de Marly (unisex) ~ 2016,151,61,2016,23
L’Homme Ideal Eau de Parfum Guerlain (male) ~ 2016,149,59,2016,24
Vetiver Guerlain (male) ~ 2000,160,83,2000,25
Jubilation XXV Man Amouage (male) ~ 2007,157,77,2007,26
Sauvage Dior (male) ~ 2015,211,193,2015,27
Allure Homme Sport Eau Extreme Chanel (male) ~ 2012,170,113,2012,28
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,162,98,2015,29
Habit Rouge Eau de Toilette Guerlain (male) ~ 1965,139,86,1965,30
Gucci Guilty Absolute Gucci (male) ~ 2017,152,115,2017,31
London for Men Burberry (male) ~ 2006,135,83,2006,32
