name,link,upvotes,downvotes,year,order
Ferrari Man in Red Ferrari (male) ~ 2015,https://www.fragrantica.com/perfume/Ferrari/Ferrari-Man-in-Red-32402.html,2,5,2015,599
Sieste Fragonard (male),https://www.fragrantica.com/perfume/Fragonard/Sieste-16219.html,1,3,0,600
Confidentiel Fragonard (male) ~ 2012,https://www.fragrantica.com/perfume/Fragonard/Confidentiel-16216.html,1,3,2012,601
Homme Carven (male) ~ 1999,https://www.fragrantica.com/perfume/Carven/Homme-11791.html,0,1,1999,602
Vibrant Leather Cologne Zara (male) ~ 2019,https://www.fragrantica.com/perfume/Zara/Vibrant-Leather-Cologne-55086.html,1,3,2019,603
Zeus Kelsey Berwin (male) ~ 2014,https://www.fragrantica.com/perfume/Kelsey-Berwin/Zeus-49793.html,1,3,2014,604
Essencial Oud Natura (male) ~ 2017,https://www.fragrantica.com/perfume/Natura/Essencial-Oud-52563.html,1,3,2017,605
Essence No. 4 Oud Elie Saab (unisex) ~ 2014,https://www.fragrantica.com/perfume/Elie-Saab/Essence-No-4-Oud-25917.html,8,18,2014,606
Narcotico Meo Fusciuni (unisex) ~ 2015,https://www.fragrantica.com/perfume/Meo-Fusciuni/Narcotico-30225.html,7,16,2015,607
Milano Cento For Him Milano Cento (male) ~ 2016,https://www.fragrantica.com/perfume/Milano-Cento/Milano-Cento-For-Him-58220.html,5,12,2016,608
Intimately Beckham Men David Beckham (male) ~ 2006,https://www.fragrantica.com/perfume/David-Beckham/Intimately-Beckham-Men-1949.html,8,18,2006,609
Après l’Amour Thomas Kosmala (unisex) ~ 2018,https://www.fragrantica.com/perfume/Thomas-Kosmala/Apres-l-Amour-53742.html,3,8,2018,610
Liqueur Charnelle Pierre Guillaume Paris (unisex) ~ 2014,https://www.fragrantica.com/perfume/Pierre-Guillaume-Paris/Liqueur-Charnelle-28136.html,4,10,2014,611
Emporio Armani City Glam for Him Giorgio Armani (male) ~ 2005,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-City-Glam-for-Him-425.html,4,10,2005,612
St Kitts for Men Tommy Bahama (male) ~ 2015,https://www.fragrantica.com/perfume/Tommy-Bahama/St-Kitts-for-Men-32304.html,4,10,2015,613
Horizon Guy Laroche (male) ~ 1993,https://www.fragrantica.com/perfume/Guy-Laroche/Horizon-2070.html,5,12,1993,614
Bowhanti The Body Shop (unisex) ~ 2016,https://www.fragrantica.com/perfume/The-Body-Shop/Bowhanti-40897.html,3,8,2016,615
Black XS L'Exces for Him Paco Rabanne (male) ~ 2012,https://www.fragrantica.com/perfume/Paco-Rabanne/Black-XS-L-Exces-for-Him-13805.html,6,14,2012,616
Bois Precieux Secret II Eisenberg (male) ~ 2017,https://www.fragrantica.com/perfume/Eisenberg/Bois-Precieux-Secret-II-47289.html,2,6,2017,617
Forest Moss Crystal Parfum (unisex) ~ 2018,https://www.fragrantica.com/perfume/Crystal-Parfum/Forest-Moss-55380.html,2,6,2018,618
Modern Man Banana Republic (male) ~ 2014,https://www.fragrantica.com/perfume/Banana-Republic/Modern-Man-29899.html,1,4,2014,619
Encens Divin Givenchy (unisex) ~ 2018,https://www.fragrantica.com/perfume/Givenchy/Encens-Divin-49606.html,1,4,2018,620
Date For Men Fragrance One (male) ~ 2019,https://www.fragrantica.com/perfume/Fragrance-One/Date-For-Men-58376.html,4,10,2019,621
Jovan Musk for Men Jovan (male) ~ 1973,https://www.fragrantica.com/perfume/Jovan/Jovan-Musk-for-Men-7469.html,1,4,1973,622
Tag-Him Armaf (male),https://www.fragrantica.com/perfume/Armaf/Tag-Him-27708.html,1,4,0,623
Catalyst for Men Halston (male) ~ 1994,https://www.fragrantica.com/perfume/Halston/Catalyst-for-Men-3691.html,1,4,1994,624
Bad Boy Carolina Herrera (male) ~ 2019,https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-55449.html,2,6,2019,625
Eau de Gloire Parfum d'Empire (unisex) ~ 2003,https://www.fragrantica.com/perfume/Parfum-d-Empire/Eau-de-Gloire-5349.html,4,11,2003,626
Herrera for Men Sensual Vetiver Carolina Herrera (male) ~ 2002,https://www.fragrantica.com/perfume/Carolina-Herrera/Herrera-for-Men-Sensual-Vetiver-9307.html,4,11,2002,627
Herrera for Men Refreshing Ginger Carolina Herrera (male) ~ 2002,https://www.fragrantica.com/perfume/Carolina-Herrera/Herrera-for-Men-Refreshing-Ginger-9308.html,4,11,2002,628
Sucre d'Ebene Pierre Guillaume Paris (unisex) ~ 2010,https://www.fragrantica.com/perfume/Pierre-Guillaume-Paris/Sucre-d-Ebene-10873.html,4,11,2010,629
Monsieur Pierre Guillaume Paris (male) ~ 2013,https://www.fragrantica.com/perfume/Pierre-Guillaume-Paris/Monsieur-20633.html,4,11,2013,630
Tempore Uomo Laura Biagiotti (male) ~ 1999,https://www.fragrantica.com/perfume/Laura-Biagiotti/Tempore-Uomo-627.html,2,7,1999,631
Neiges pour Homme Lise Watier (male) ~ 1999,https://www.fragrantica.com/perfume/Lise-Watier/Neiges-pour-Homme-3856.html,2,7,1999,632
Joint pour Homme Roccobarocco (male) ~ 1993,https://www.fragrantica.com/perfume/Roccobarocco/Joint-pour-Homme-14855.html,2,7,1993,633
Green Orange & Coriander Jo Loves (unisex) ~ 2011,https://www.fragrantica.com/perfume/Jo-Loves/Green-Orange-Coriander-13827.html,1,5,2011,634
Fortitude Robert Graham (male) ~ 2016,https://www.fragrantica.com/perfume/Robert-Graham/Fortitude-36530.html,1,5,2016,635
Sky Father Dame Perfumery (male) ~ 2017,https://www.fragrantica.com/perfume/Dame-Perfumery/Sky-Father-43689.html,7,18,2017,636
New York Oud Bond No 9 (unisex) ~ 2011,https://www.fragrantica.com/perfume/Bond-No-9/New-York-Oud-11234.html,6,16,2011,637
No Ordinary Man Korloff Paris (male) ~ 2016,https://www.fragrantica.com/perfume/Korloff-Paris/No-Ordinary-Man-37915.html,3,10,2016,638
JD Juste Filthy JD Jeffrey Dame (male) ~ 2019,https://www.fragrantica.com/perfume/JD-Jeffrey-Dame/JD-Juste-Filthy-57048.html,7,19,2019,639
Strictly Private Baldessarini (male) ~ 2009,https://www.fragrantica.com/perfume/Baldessarini/Strictly-Private-5202.html,2,9,2009,640
Sybaris Antonio Puig (male) ~ 1988,https://www.fragrantica.com/perfume/Antonio-Puig/Sybaris-19446.html,5,16,1988,641
Aequalis Mauboussin (male) ~ 2016,https://www.fragrantica.com/perfume/Mauboussin/Aequalis-41118.html,3,12,2016,642
Signature Summer for Him David Beckham (male) ~ 2011,https://www.fragrantica.com/perfume/David-Beckham/Signature-Summer-for-Him-11500.html,4,14,2011,643
